#session,id,occassion,detector,sex
2007,10916a,2,2B,F
2007,10916a,3,2C,F
2007,10940,4,16D,F
2007,14795-2a,2,10B,F
2007,14795-30r,2,10B,M
2007,15042-2x,2,35B,M
2007,15120-9t,1,11A,F
2007,15138-10s,1,3A,F
2007,2989,3,s0099,M
2007,3727,3,s0109,M
2007,3813,3,s0117,M
2007,3819,3,s0120,M
2007,3825,3,s0117,F
2007,3890,3,s0120,M
2007,4500,3,s0099,F
2007,4875,1,18A,M
2007,4875,2,10B,M
2007,4875,3,10C,M
2007,5421,3,16C,F
2007,5712,1,3A,M
2007,644,3,s0054a,M
2007,667,1,s0139,M
2007,79349,1,8A,F
2007,79349,3,16C,F
2007,79350,1,18A,F
2007,79350,1,9A,F
2007,79350,2,18B,F
2007,79350,3,17C,F
2007,8848-a,3,3C,M
2007,Carlos,1,18A,M
