#session,id,occassion,detector,sex
2018,10738-a,4,s0301,F
2018,10744,5,s0403,F
2018,10744,5,s1096,F
2018,10794-b,1,s1387,F
2018,10794-b,2,s1215,F
2018,10794-b,3,s1218,F
2018,11478,3,s1361,F
2018,11478,4,s1361,F
2018,11478,5,s1074,F
2018,11513,1,s0301,M
2018,11883,3,s1085,F
2018,11883,4,s1085,F
2018,11883,5,s1085,F
2018,12496,3,s1274,F
2018,12578,5,s0766,F
2018,13253,3,s1368,M
2018,13253,5,s1152,M
2018,13647,2,s1239,F
2018,13647,3,s0195,F
2018,13647,3,s0311,F
2018,13647,3,s0312,F
2018,13647,3,s1232,F
2018,13647,5,s0195,F
2018,13647,5,s0317,F
2018,13647,5,s1175,F
2018,13655,4,s0195,F
2018,13696,1,s0358,F
2018,13724,2,s1107,F
2018,13736,3,s1194,M
2018,13736,5,s1194,M
2018,14637,3,s1074,M
2018,14637,3,s1075,M
2018,14637,4,s1074,M
2018,14637,5,s1076,M
2018,14776,2,s1385,F
2018,148,1,s0642,M
2018,148,2,s1065,M
2018,148,4,s1228,M
2018,14830,2,s1218,M
2018,14830,4,s0355,M
2018,14830,5,s1229,M
2018,14838,2,s1387,F
2018,14948,3,s1070,F
2018,14948,4,s1076,F
2018,14948,5,s0873,F
2018,16457,1,s1164,F
2018,16457,5,s1151,F
2018,16647,2,s1083,M
2018,16759,2,s1360,F
2018,17012,1,s0240,M
2018,17133,2,s0762,M
2018,17413,2,s0471,M
2018,17413,2,s1179,M
2018,17626,2,s0640,F
2018,18071,2,s1256,F
2018,18184,5,s1066,M
2018,18184,5,s1235,M
2018,18883,2,s1107,M
2018,19478,1,s0308,M
2018,19619,4,s1183,F
2018,19863,1,s1158,M
2018,19863,2,s1233,M
2018,19863,4,s1198,M
2018,19866,1,s0359,M
2018,19866,2,s0347,M
2018,19866,2,s0357,M
2018,19866,2,s0359,M
2018,19866,2,s1254,M
2018,19866,3,s0347,M
2018,19866,3,s1194,M
2018,19866,4,s0357,M
2018,19866,4,s1018,M
2018,19866,4,s1194,M
2018,19866,4,s1250,M
2018,19866,5,s1194,M
2018,19919,3,s1183,F
2018,19919,4,s0314,F
2018,20174,1,s1386,F
2018,20174,5,s0572,F
2018,20720,1,s1384,F
2018,20720,3,s1073,F
2018,21211,2,s1368,M
2018,21341,4,s1233,M
2018,21341,5,s1028,M
2018,21341,5,s1232,M
2018,21428,2,s1164,F
2018,21428,3,s1064,F
2018,21428,3,s1065,F
2018,21428,5,s1065,F
2018,21830,2,s1073,M
2018,21962,1,s1384,F
2018,21962,2,s1384,F
2018,22631,1,s0257,M
2018,23039,3,s1217,F
2018,23087,4,s0340,F
2018,23087,5,s0160,F
2018,23293,2,s1183,F
2018,23614,1,s0355,M
2018,23614,2,s0643,M
2018,23614,2,s1203,M
2018,23660,5,s1225,M
2018,23862,2,s1194,M
2018,23937,2,s1361,F
2018,24465,2,s1387,F
2018,24530,2,s1387,F
2018,24593,5,s1274,F
2018,24680,2,s1385,M
2018,24690,2,s1382,F
2018,25991,2,s1175,M
2018,25991,4,s0311,M
2018,25995,4,s0311,F
2018,3825,1,s1384,F
2018,3825,2,s1384,F
2018,3825,4,s1073,F
2018,3825,5,s0764,F
2018,4456,3,s1086,M
2018,4456,5,s1086,M
2018,452,1,s0360,F
2018,452,2,s0355,F
2018,452,3,s1254,F
2018,452,4,s1214,F
2018,452,4,s1215,F
2018,452,4,s1216,F
2018,452,4,s1254,F
2018,4589,3,s1058,M
2018,4875,1,s1376,M
2018,4875,2,s0160,M
2018,4875,2,s1358,M
2018,4875,3,s0143,M
2018,4875,3,s0145,M
2018,4875,4,s0240,M
2018,5338,2,s0873,M
2018,5338,4,s1083,M
2018,5338,4,s1086,M
2018,5441,1,s0360,M
2018,5441,1,s0470,M
2018,5441,2,s0763,M
2018,5441,2,s0764,M
2018,5441,3,s1179,M
2018,5441,3,s1215,M
2018,5441,5,s0355,M
2018,5441,5,s1215,M
2018,5441,5,s1216,M
2018,5528,1,s0639,M
2018,5560,2,s0306,F
2018,5560,3,s0308,F
2018,5560,3,s1233,F
2018,5560,3,s1235,F
2018,5560,3,s1239,F
2018,5560,4,s0308,F
2018,5560,4,s1028,F
2018,5560,5,s1029,F
2018,5814,1,s0641,M
2018,5814,2,s0765,M
2018,5983,1,s0312,M
2018,5983,2,s0311,M
2018,5983,2,s0312,M
2018,5983,2,s1234,M
2018,5983,3,s0314,M
2018,5983,4,s1234,M
2018,6276,1,s0193,M
2018,6276,1,s0705,M
2018,6276,5,s0639,M
2018,6325,1,s0257,F
2018,641,2,s0257,F
2018,641,5,s1200,F
2018,7078,3,s1028,M
2018,7093,4,s1235,M
2018,7251,2,s0143,M
2018,7251,2,s0145,M
2018,7251,2,s0160,M
2018,7305,1,s0257,F
2018,7305,2,s0257,F
2018,7305,2,s1375,F
2018,7305,3,s1359,F
2018,8804-b,5,s0143,F
2018,9792,2,s1384,F
2018,CI127701,2,s1241,F
2018,CI127701,3,s0759,F
2018,cl-Amy,4,s1212,F
2018,cl-Amy,5,s1213,F
2018,cl-EVGF84,4,s0403,F
2018,cl-Monica,2,s1217,F
2018,SA4409,3,s0340,F
2018,SA4659,2,s0240,M
2018,SA4659,2,s1058,M
2018,SA549,1,s0143,M
2018,SA549,1,s0145,M
2018,SA549,1,s0340,M
2018,SA549,4,s0143,M
2018,SA9334,4,s0143,F
2018,SA9334,4,s0145,F
2018,SA9334,4,s0160,F
