#session,id,occassion,detector,sex
2011,10281,3,s0766,F
2011,10442,2,s0415,M
2011,10480,1,s0752,M
2011,10703-a,3,s0582,M
2011,11245,4,s0403,F
2011,11478,4,s0636,F
2011,11491,2,s0572,M
2011,11491,4,s0145,M
2011,11615,2,s0706,M
2011,148,1,s0403,M
2011,2997,3,s0764,M
2011,3890,3,s0193,M
2011,3890,4,s0766,M
2011,4152,2,s0700,F
2011,4875,2,s0145,M
2011,4875,4,s0143,M
2011,4951,3,s0706,M
2011,5255,2,s0225,F
2011,5338,3,s0706,M
2011,5721,4,s0638,M
2011,5963,3,s0644,M
2011,5963,3,s0763,M
2011,5983,3,s0051,M
2011,6151,2,s0638,M
2011,6151,2,s0759,M
2011,6151,3,s0638,M
2011,6276,4,s0639,M
2011,644,4,s0403,M
2011,644,4,s0571,M
2011,7040,2,s0752,M
2011,7151,2,s0706,M
2011,7165,4,s0403,M
2011,7305,3,s0054a,F
2011,8804-b,4,s0339,F
2011,8804-k,4,s0339,F
2011,8804-k,4,s0340,F
