#session,id,occassion,detector,sex
2015,1021,5,s1085,F
2015,10549EV,2,s1077,M
2015,10707,5,s1086,F
2015,10744,4,s1091,F
2015,11478,2,s1084,F
2015,11888,4,s1086,M
2015,12578,2,s0640,F
2015,12578,4,s0641,F
2015,12578,5,s0643,F
2015,12578,5,s0765,F
2015,12705,4,s1194,M
2015,13252,4,s1091,F
2015,13252,4,s1152,F
2015,13253,1,s1152,M
2015,13647,2,s0306,F
2015,13647,5,s0306,F
2015,13647,5,s0308,F
2015,13655,4,s1029,F
2015,13736,2,s1179,M
2015,13736,3,s0873,M
2015,13736,4,s1194,M
2015,14637,2,s0873,M
2015,14776,3,s1256,F
2015,148,1,s1064,M
2015,14948,5,s0764,F
2015,14963,4,s1228,M
2015,15120-9t,2,s0145,F
2015,16457,4,s1152,F
2015,16714,2,s1083,M
2015,16786,1,s0301,M
2015,16945,1,s1071,M
2015,16945,1,s1079,M
2015,16945,1,s1194,M
2015,17012,1,s1058,M
2015,17012,1,s1062,M
2015,17133,5,s1073,M
2015,17133,5,s1076,M
2015,17315,4,s1220,F
2015,17315,5,s1220,F
2015,17368,3,s1225,M
2015,17611,4,s0303,F
2015,17626,4,s0765,F
2015,17626,5,s1200,F
2015,17809,4,s1175,M
2015,19863,4,s1183,M
2015,19863,5,s1233,M
2015,19866,5,s1025,M
2015,19866,5,s1235,M
2015,19919,3,s0312,F
2015,19919,3,s1232,F
2015,19919,5,s0314,F
2015,19919,5,s1028,F
2015,19924,5,s0311,M
2015,2997,1,s0301,M
2015,2997,2,s0764,M
2015,2997,3,s0764,M
2015,3578,4,s1076,M
2015,3808,2,s0643,M
2015,3825,2,s1073,F
2015,3890,1,s0705,M
2015,4589,1,s1061,M
2015,4875,1,s0145,M
2015,4875,1,s0160,M
2015,4875,2,s0143,M
2015,4875,3,s0240,M
2015,4875,4,s1056,M
2015,5338,1,s0762,M
2015,5338,1,s0764,M
2015,5338,1,s1073,M
2015,5338,1,s1074,M
2015,5338,1,s1076,M
2015,5338,1,s1077,M
2015,5338,1,s1079,M
2015,5441,4,s0349,M
2015,5560,2,s0196,F
2015,5560,2,s0310,F
2015,5560,3,s0313,F
2015,5560,3,s1183,F
2015,5560,4,s0488,F
2015,5560,4,s1030,F
2015,5560,4,s1187,F
2015,5560,4,s1232,F
2015,5560,5,s0311,F
2015,5560,5,s1028,F
2015,5963,3,s0762,M
2015,5963,3,s0763,M
2015,5963,3,s0873,M
2015,5963,4,s0347,M
2015,5963,4,s0352,M
2015,5963,4,s0355,M
2015,5963,4,s0357,M
2015,5963,4,s0762,M
2015,5963,4,s1018,M
2015,5963,5,s0357,M
2015,5983,4,s1198,M
2015,5EVSA-F15,2,s0303,F
2015,5EVSA-F15,2,s0306,F
2015,5EVSA-F15,2,s0317,F
2015,5EVSA-F15,2,s1028,F
2015,5EVSA-F15,3,s0310,F
2015,5EVSA-F15,3,s0317,F
2015,5EVSA-F15,3,s0934,F
2015,6276,1,s0765,M
2015,6276,1,s1086,M
2015,641,2,s0643,F
2015,641,3,s0641,F
2015,641,4,s0640,F
2015,641,4,s0765,F
2015,641,5,s1200,F
2015,6549,4,s0643,M
2015,7078,3,s1030,M
2015,7078,4,s1183,M
2015,7evas-F16,2,s0313,F
2015,7evas-F16,2,s0314,F
2015,7evas-F16,3,s0196,F
2015,7evas-F16,3,s1030,F
2015,7evas-F16,4,s0310,F
2015,7evas-F16,4,s1028,F
2015,7evas-F16,5,s0195,F
2015,7evas-F16,5,s0312,F
2015,7evas-F16,5,s0934,F
2015,8801-i,2,s0160,F
2015,8801-i,3,s0160,F
2015,8801-i,4,s0160,F
2015,8804-b,4,s0240,F
2015,8804-b,5,s0143,F
2015,8807-b,5,s1059,M
2015,8809-e,1,s0873,M
2015,9547,4,s1085,F
2015,cl-Sue,2,s0640,F
2015,SA4409,4,s0340,F
2015,SA4659,1,s0145,M
2015,SA4659,1,s0240,M
2015,SA4659,1,s0339,M
2015,SA4659,1,s1066,M
2015,SA4659,3,s0143,M
2015,SA4659,3,s0145,M
2015,SA4659,5,s1060,M
2015,SA9334,4,s0145,F
