#session,id,occassion,detector,sex
2010,10780-b,4,s0311,F
2010,11383,4,s0139,M
2010,148,3,s0257,M
2010,2997,3,s0301,M
2010,4589,2,s0146,M
2010,4951,4,s0360,M
2010,5339,4,s0359,M
2010,5560,3,s0313,F
2010,5814,1,s0139,M
2010,5EVSA-F15,3,s0308,F
2010,5EVSA-F15,3,s0310,F
2010,5EVSA-F15,3,s0317,F
2010,5EVSA-F15,4,s0487,F
2010,644,2,s0045,M
2010,644,3,s0257,M
2010,644,3,s0403,M
2010,644,4,s0347,M
2010,644,4,s0355,M
2010,667,1,s0054c,M
2010,6995,3,s0306,M
2010,7165,2,s0462,M
2010,7165,3,s0045,M
2010,7evas-F16,3,s0311,F
2010,7evas-F16,3,s0314,F
2010,8149,3,s0462,M
2010,8801-i,4,s0145,F
2010,8801-v,1,s0403,M
2010,8801-v,4,s0403,M
2010,8807-b,2,s0161,M
