#session,id,occassion,detector,sex
2013,10281,5,s0766,F
2013,10480,1,s0879,M
2013,10480,2,s0880,M
2013,10738-a,5,s1026,F
2013,10780-b,4,s1028,F
2013,10780-b,4,s1030,F
2013,10826-c,5,s0752,F
2013,11478,2,s0871,F
2013,12496,2,s0894,F
2013,12548,3,s0880,F
2013,12578,3,s0257,F
2013,14776,4,s1024,F
2013,148,2,s0257,M
2013,148,4,s0765,M
2013,14810,4,s1026,F
2013,14830,4,s0240,M
2013,14835,4,s0879,M
2013,14835,4,s1006,M
2013,14835,5,s0878,M
2013,14835,5,s1005,M
2013,14835,5,s1006,M
2013,14838,4,s1002,F
2013,14855,4,s0643,M
2013,14879,5,s1026,M
2013,14948,4,s0873,F
2013,14948,5,s0873,F
2013,14963,5,s0882,M
2013,14963,5,s0883,M
2013,2997,2,s0880,M
2013,2997,3,s0353,M
2013,2997,3,s0358,M
2013,2997,3,s0644,M
2013,3890,1,s0705,M
2013,3890,2,s0257,M
2013,452,5,s0355,F
2013,4875,4,s0143,M
2013,4875,5,s0160,M
2013,4875,5,s0240,M
2013,4951,2,s0643,M
2013,4951,3,s0352,M
2013,4951,3,s0355,M
2013,4951,3,s0763,M
2013,4951,4,s0349,M
2013,4951,4,s0763,M
2013,5181,4,s1029,F
2013,5338,2,s0872,M
2013,5338,3,s0763,M
2013,5338,3,s0764,M
2013,5338,4,s0873,M
2013,5339,4,s1005,M
2013,5441,2,s1002,M
2013,5441,5,s1002,M
2013,5721,2,s0243,M
2013,5EVSA-F15,5,s0306,F
2013,6276,4,s0639,M
2013,6276,4,s0766,M
2013,6325,5,s0243,F
2013,641,3,s0257,F
2013,6445,3,s0889,M
2013,6549,5,s0139,M
2013,7093,3,s0894,M
2013,7305,5,s1022,F
2013,8804-b,5,s0161,F
2013,8804-b,5,s0234,F
2013,8807-b,3,s0143,M
2013,8807-b,4,s0146,M
2013,8807-b,4,s0234,M
2013,9164,2,s0590,F
2013,9792,2,s0871,F
