ageclass,sex,param,median.boot,sd.boot,lower,upper
0-1,F,survival,0.7317073170731707,0.06809603841632772,0.6097560975609756,0.8292682926829269
0-1,M,survival,0.7317073170731707,0.06809603841632772,0.6097560975609756,0.8292682926829269
2-6,F,survival,0.7152901785714285,0.10217220747192965,0.5354050538833148,0.8770042638537778
2-6,M,survival,0.5965909090909091,0.13582030640795248,0.3717149945642593,0.8181818181818181
>6,F,survival,0.96,0.028589608960566327,0.9074074074074074,1
>6,M,survival,0.9444444444444444,0.05792613888884592,0.8333333333333334,1
