ageclass,param,median.boot,sd.boot,lower,upper
5-6,reproduction,0.15384615384615385,0.09829356233184915,0,0.3076923076923077
>6,reproduction,0.23484848484848486,0.05285444116357073,0.15151515151515152,0.3257575757575758
