#detector,X,Y,usage,trap
s0045,1789894,603034,0 8 12 0 0,/bs
s0054a,1809183,593079,0 13 16 0 0,/bs
s0054d,1809183,593079,31 0 0 0 0,/rt
s0055,1812432,587115,0 13 16 0 0,/bs
s0060,1786678,573235,0 13 16 0 0,/bs
s0065,1790216,544200,0 12 19 0 0,/bs
s0070,1786269,583544,0 12 18 0 0,/bs
s0086,1784001,594476,0 13 0 0 0,/bs
s0096,1814534,578321,0 13 16 0 0,/bs
s0097,1796813,578630,0 13 16 0 0,/bs
s0099,1778586,555735,0 0 20 0 0,/bs
s0100,1784273,548139,0 0 19 0 0,/bs
s0109,1804951,607957,0 9 12 0 0,/bs
s0117,1785569,609382,0 8 14 0 0,/bs
s0120,1806077,598460,0 8 11 0 0,/bs
s0139,1812349,587174,31 0 0 0 0,/rt
10A,1812938,567342,11 0 0 0 0,/bs
10B,1815144,570668,0 13 0 0 0,/bs
10C,1817081,565021,0 0 13 0 0,/bs
10D,1817862,567025,0 0 0 12 0,/bs
11A,1821410,567852,14 0 0 0 0,/bs
11D,1823037,570351,0 0 0 12 0,/bs
15A,1793418,558936,14 0 0 0 0,/bs
15B,1794953,555688,0 16 0 0 0,/bs
15C,1798483,556212,0 0 13 0 0,/bs
15D,1798472,560200,0 0 0 14 0,/bs
16A,1801124,560406,14 0 0 0 0,/bs
16B,1802521,556668,0 13 0 0 0,/bs
16C,1803351,559220,0 0 13 0 0,/bs
16D,1805325,557079,0 0 0 13 0,/bs
17A,1808611,561926,18 0 0 0 0,/bs
17B,1811310,557126,0 13 0 0 0,/bs
17C,1807404,559395,0 0 13 0 0,/bs
17D,1810271,559297,0 0 0 14 0,/bs
18A,1815027,563893,14 0 0 0 0,/bs
18B,1817020,562381,0 13 0 0 0,/bs
19C,1821290,563661,0 0 14 0 0,/bs
19D,1820532,561412,0 0 0 12 0,/bs
1A,1799448,581880,14 0 0 0 0,/bs
1B,1799297,579967,0 13 0 0 0,/bs
1C,1799516,577018,0 0 12 0 0,/bs
1D,1803493,578539,0 0 0 15 0,/bs
24A,1794843,548323,18 0 0 0 0,/bs
24B,1799753,549662,0 13 0 0 0,/bs
24C,1795830,553742,0 0 13 0 0,/bs
24D,1798397,553615,0 0 0 13 0,/bs
25A,1805929,552128,15 0 0 0 0,/bs
25B,1802448,553665,0 13 0 0 0,/bs
25C,1806286,549644,0 0 12 0 0,/bs
25D,1801354,550243,0 0 0 14 0,/bs
26A,1808766,554966,15 0 0 0 0,/bs
2A,1797765,574377,14 0 0 0 0,/bs
2B,1803213,574583,0 13 0 0 0,/bs
2C,1801910,570820,0 0 13 0 0,/bs
2D,1801272,572915,0 0 0 14 0,/bs
35A,1795741,540871,14 0 0 0 0,/bs
35B,1796440,544621,0 13 0 0 0,/bs
35C,1798815,546193,0 0 11 0 0,/bs
35D,1801506,541576,0 0 0 15 0,/bs
36A,1802872,541169,14 0 0 0 0,/bs
36B,1807054,546244,0 16 0 0 0,/bs
36C,1802929,547853,0 0 13 0 0,/bs
36D,1805984,541681,0 0 0 14 0,/bs
3A,1805654,576874,18 0 0 0 0,/bs
3B,1807190,573059,0 13 0 0 0,/bs
3C,1804590,573557,0 0 12 0 0,/bs
3D,1808835,573302,0 0 0 10 0,/bs
47A,1794804,539068,18 0 0 0 0,/bs
47B,1791917,535253,0 14 0 0 0,/bs
47C,1790386,537287,0 0 13 0 0,/bs
48C,1801192,537541,0 0 15 0 0,/bs
48D,1798590,539149,0 0 0 13 0,/bs
49A,1805541,540530,16 0 0 0 0,/bs
49C,1804242,539431,0 0 14 0 0,/bs
7A,1792635,563889,14 0 0 0 0,/bs
7B,1794482,567278,0 13 0 0 0,/bs
7C,1796873,568474,0 0 13 0 0,/bs
7D,1795663,562511,0 0 0 13 0,/bs
8A,1804418,563757,14 0 0 0 0,/bs
8B,1800395,563257,0 12 0 0 0,/bs
8C,1803349,565270,0 0 12 0 0,/bs
8D,1799780,567341,0 0 0 13 0,/bs
9A,1807553,567094,15 0 0 0 0,/bs
9B,1807780,568891,0 13 0 0 0,/bs
9C,1807030,564226,0 0 12 0 0,/bs
9D1,1809931,569741,0 0 0 14 0,/bs
9D2,1810305,569827,0 0 0 12 0,/bs
