#detector,X,Y,usage,trap
s0139,1812349,587174,15 25 31 28 30,/rt
s0143,1816719,567016,31 39 30 47 26,/rt
s0145,1817733,567109,31 39 30 47 26,/rt
s0160,1816699,567629,31 39 30 47 26,/rt
s0193,1805693,601311,31 33 32 35 38,/rt
s0195,1784039,564763,31 24 22 44 11,/rt
s0240,1816709,567862,31 39 30 47 26,/rt
s0243,1812422,587171,6 25 31 28 30,/rt
s0301,1784711,571160,31 25 22 44 11,/rt
s0303,1783846,570799,31 25 22 44 11,/rt
s0306,1783672,568960,31 25 22 44 11,/rt
s0308,1783846,566260,31 24 22 44 11,/rt
s0311,1783910,564953,31 24 22 44 11,/rt
s0312,1784127,563671,31 24 22 44 11,/rt
s0314,1782953,561357,31 24 22 44 28,/rt
s0317,1783828,565553,31 24 22 44 11,/rt
s0340,1813120,566989,31 39 30 47 26,/rt
s0347,1793797,590493,31 27 31 31 29,/rt
s0352,1792669,590604,31 27 31 31 29,/rt
s0353,1792301,590712,31 27 31 31 29,/rt
s0355,1791294,591554,31 27 31 31 29,/rt
s0357,1790476,592417,31 27 31 31 29,/rt
s0358,1789940,594591,31 27 31 31 29,/rt
s0359,1790317,592874,31 27 31 31 29,/rt
s0360,1790567,592183,31 27 31 31 29,/rt
s0403,1806531,581218,31 30 31 31 29,/rt
s0415,1803154,574312,31 29 31 31 29,/rt
s0471,1789358,595777,31 27 31 31 29,/rt
s0571,1805632,573275,31 29 31 31 29,/rt
s0572,1804094,574248,31 29 31 31 29,/rt
s0639,1800439,617621,31 29 48 32 27,/rt
s0640,1803319,596805,31 33 32 35 38,/rt
s0641,1803640,596074,31 33 32 35 38,/rt
s0643,1805464,591691,31 33 32 35 38,/rt
s0705,1804009,600650,31 33 32 35 38,/rt
s0759,1800170,617621,31 29 48 32 27,/rt
s0762,1790191,602996,31 47 16 31 41,/rt
s0763,1789221,603333,31 47 16 31 41,/rt
s0764,1788149,603580,31 47 16 31 41,/rt
s0765,1804523,600988,31 33 32 35 38,/rt
s0766,1804769,602365,31 33 32 35 38,/rt
s0873,1789735,603117,31 47 16 31 41,/rt
s1018,1790631,592077,31 27 31 31 29,/rt
s1022,1809607,591845,15 25 31 28 30,/rt
s1024,1786749,596065,31 27 31 31 29,/rt
s1028,1783888,565205,31 24 22 44 11,/rt
s1029,1784302,564089,31 24 22 44 11,/rt
s1056,1806621,573322,31 29 31 31 29,/rt
s1058,1807661,568500,31 29 31 31 29,/rt
s1059,1808874,561547,31 29 31 31 29,/rt
s1061,1810360,559046,31 29 31 31 29,/rt
s1064,1806991,564377,31 29 31 31 29,/rt
s1065,1805830,563608,31 29 31 31 29,/rt
s1066,1807014,565753,31 29 31 31 29,/rt
s1067,1785572,557926,0 30 27 39 41,/rt
s1070,1792458,604815,31 32 31 34 31,/rt
s1071,1792266,605059,31 32 31 34 31,/rt
s1073,1785266,609179,0 30 29 36 23,/rt
s1074,1787046,610387,0 30 29 36 23,/rt
s1075,1787209,610412,0 30 29 36 23,/rt
s1076,1788194,610844,0 30 29 36 23,/rt
s1077,1789160,610660,0 30 29 36 23,/rt
s1079,1790673,607926,0 30 29 36 23,/rt
s1083,1787938,622442,31 32 37 25 14,/rt
s1084,1790048,624731,31 33 34 27 29,/rt
s1085,1789022,627838,31 33 34 27 29,/rt
s1086,1789085,629136,31 33 34 27 29,/rt
s1091,1798754,581851,31 34 30 30 47,/rt
s1092,1798661,582578,31 34 30 30 47,/rt
