#detector,X,Y,usage,trap
s0139,1812349,587174,28 36 42 0 0,/rt
s0143,1816719,567016,30 53 22 29 0,/rt
s0145,1817733,567109,30 53 22 29 0,/rt
s0160,1816699,567629,30 53 22 26 0,/rt
s0193,1805693,601311,30 35 35 30 0,/rt
s0195,1784039,564763,30 31 40 16 0,/rt
s0240,1816709,567862,30 53 22 26 0,/rt
s0243,1812422,587171,28 36 42 0 0,/rt
s0301,1784711,571160,30 31 40 16 0,/rt
s0303,1783846,570799,30 31 40 16 0,/rt
s0306,1783672,568960,30 31 40 16 0,/rt
s0308,1783846,566260,30 31 40 16 0,/rt
s0311,1783910,564953,30 31 40 16 0,/rt
s0312,1784127,563671,30 31 40 16 0,/rt
s0314,1782953,561357,30 31 40 36 0,/rt
s0317,1783828,565553,30 31 40 16 0,/rt
s0340,1813120,566989,30 53 22 26 0,/rt
s0347,1793797,590493,30 32 34 29 0,/rt
s0352,1792669,590604,30 32 34 29 0,/rt
s0353,1792301,590712,30 32 34 29 0,/rt
s0355,1791294,591554,30 32 34 29 0,/rt
s0357,1790476,592417,30 32 34 29 0,/rt
s0358,1789940,594591,30 32 34 29 0,/rt
s0359,1790317,592874,30 32 34 29 0,/rt
s0360,1790567,592183,30 32 34 29 0,/rt
s0415,1803154,574312,30 31 36 31 0,/rt
s0471,1789358,595777,30 32 34 29 0,/rt
s0571,1805632,573275,30 31 36 31 0,/rt
s0572,1804094,574248,30 31 36 31 0,/rt
s0639,1800439,617621,30 46 39 26 0,/rt
s0640,1803319,596805,30 35 35 30 0,/rt
s0641,1803640,596074,30 35 35 30 0,/rt
s0643,1805464,591691,30 35 35 30 0,/rt
s0705,1804009,600650,30 35 35 30 0,/rt
s0759,1800170,617621,4 46 39 26 0,/rt
s0762,1790191,602996,30 38 36 19 0,/rt
s0763,1789221,603333,30 38 36 19 0,/rt
s0764,1788149,603580,30 38 36 19 0,/rt
s0765,1804523,600988,30 35 35 30 0,/rt
s0766,1804769,602365,30 35 35 30 0,/rt
s0873,1789735,603117,30 38 36 19 0,/rt
s1018,1790631,592077,30 32 34 29 0,/rt
s1022,1809607,591845,28 36 42 0 0,/rt
s1024,1786749,596065,30 32 34 29 0,/rt
s1028,1783888,565205,30 31 40 16 0,/rt
s1029,1784302,564089,30 31 40 16 0,/rt
s1056,1806621,573322,30 31 36 31 0,/rt
s1058,1807661,568500,30 31 36 31 0,/rt
s1059,1808874,561547,30 31 36 31 0,/rt
s1061,1810360,559046,30 31 36 31 0,/rt
s1065,1805830,563608,30 31 36 31 0,/rt
s1066,1807014,565753,30 31 36 31 0,/rt
s1067,1785572,557926,30 30 33 28 0,/rt
s1070,1792458,604815,30 40 36 19 0,/rt
s1071,1792266,605059,30 40 36 19 0,/rt
s1073,1785266,609179,30 38 20 37 0,/rt
s1074,1787046,610387,30 38 20 37 0,/rt
s1075,1787209,610412,30 38 20 37 0,/rt
s1076,1788194,610844,30 38 20 37 0,/rt
s1077,1789160,610660,30 38 20 37 0,/rt
s1079,1790673,607926,30 38 20 37 0,/rt
s1083,1787938,622442,30 38 25 29 0,/rt
s1084,1790048,624731,30 30 36 26 0,/rt
s1085,1789022,627838,30 30 36 27 0,/rt
s1086,1789085,629136,30 30 36 27 0,/rt
s1091,1798754,581851,30 33 42 29 0,/rt
s1092,1798661,582578,30 33 42 29 0,/rt
s1093,1798497,584078,30 33 42 29 0,/rt
s1094,1799286,586520,30 33 42 29 0,/rt
s1095,1798972,586196,30 33 42 29 0,/rt
s1096,1798483,584901,30 33 42 29 0,/rt
s1151,1793368,561228,30 34 33 41 0,/rt
s1152,1793505,561388,30 34 33 41 0,/rt
s1175,1784394,563827,30 31 40 16 0,/rt
s1179,1788671,603406,30 38 36 19 0,/rt
s1183,1783597,562682,30 31 40 36 0,/rt
