#detector,X,Y,usage,trap
s0139,1812349,587174,30 33 27 0 65,/rt
s0143,1816719,567016,31 40 34 37 20,/rt
s0145,1817733,567109,31 40 34 37 20,/rt
s0160,1816699,567629,31 40 34 37 20,/rt
s0193,1805693,601311,31 37 26 34 31,/rt
s0195,1784039,564763,31 0 77 25 28,/rt
s0240,1816709,567862,31 40 34 37 0,/rt
s0243,1812422,587171,30 33 27 0 5,/rt
s0257,1806223,598212,15 14 0 0 0,/bs
s0301,1784711,571160,31 39 38 25 28,/rt
s0303,1783846,570799,31 39 38 25 28,/rt
s0306,1783672,568960,31 39 38 25 28,/rt
s0308,1783846,566260,31 0 77 25 28,/rt
s0311,1783910,564953,31 39 38 25 28,/rt
s0312,1784127,563671,31 39 38 25 28,/rt
s0314,1782953,561357,31 39 38 25 28,/rt
s0317,1783828,565553,31 39 38 25 28,/rt
s0340,1813120,566989,31 40 34 37 20,/rt
s0347,1793797,590493,31 28 31 30 28,/rt
s0352,1792669,590604,31 20 31 30 28,/rt
s0353,1792301,590712,8 20 31 30 28,/rt
s0355,1791294,591554,31 20 31 30 28,/rt
s0357,1790476,592417,8 20 31 30 28,/rt
s0358,1789940,594591,31 20 31 30 28,/rt
s0359,1790317,592874,8 20 31 30 28,/rt
s0360,1790567,592183,31 20 31 30 28,/rt
s0403,1806531,581218,20 29 31 31 28,/rt
s0415,1803154,574312,0 29 31 31 28,/rt
s0470,1785793,595797,31 0 0 0 0,/rt
s0471,1789358,595777,31 20 31 30 28,/rt
s0571,1805632,573275,0 29 31 31 28,/rt
s0572,1804094,574248,0 29 31 31 28,/rt
s0638,1800386,617634,31 0 0 0 0,/rt
s0639,1800439,617621,31 36 21 57 27,/rt
s0640,1803319,596805,31 37 26 34 31,/rt
s0641,1803640,596074,31 37 26 34 31,/rt
s0642,1804124,595419,31 0 0 0 0,/rt
s0643,1805464,591691,31 37 26 34 31,/rt
s0705,1804009,600650,31 37 26 34 31,/rt
s0759,1800170,617621,31 36 21 57 27,/rt
s0762,1790191,602996,31 27 31 31 28,/rt
s0763,1789221,603333,31 27 31 31 28,/rt
s0764,1788149,603580,31 27 31 31 28,/rt
s0765,1804523,600988,31 37 26 0 0,/rt
s0766,1804769,602365,31 37 26 34 31,/rt
s0873,1789735,603117,31 27 31 31 28,/rt
s1018,1790631,592077,31 20 31 30 28,/rt
s1022,1809607,591845,9 33 27 0 15,/rt
s1024,1786749,596065,31 20 31 30 28,/rt
s1028,1783888,565205,0 0 31 25 28,/rt
s1029,1784302,564089,0 0 31 25 28,/rt
s1056,1806621,573322,31 29 31 31 28,/rt
s1058,1807661,568500,31 27 31 31 28,/rt
s1059,1808874,561547,31 27 31 31 28,/rt
s1060,1809307,560536,31 27 0 0 0,/rt
s1061,1810360,559046,31 27 31 31 28,/rt
s1064,1806991,564377,31 27 31 31 28,/rt
s1065,1805830,563608,31 27 31 0 59,/rt
s1066,1807014,565753,31 27 31 31 28,/rt
s1070,1792458,604815,31 27 31 31 28,/rt
s1071,1792266,605059,31 27 31 31 28,/rt
s1073,1785266,609179,31 19 28 34 40,/rt
s1074,1787046,610387,31 19 28 34 40,/rt
s1075,1787209,610412,31 19 28 34 40,/rt
s1076,1788194,610844,31 19 28 34 40,/rt
s1077,1789160,610660,31 19 28 34 40,/rt
s1079,1790673,607926,31 19 28 34 40,/rt
s1083,1787938,622442,31 28 28 34 35,/rt
s1084,1790048,624731,31 29 28 34 37,/rt
s1085,1789022,627838,31 29 28 34 37,/rt
s1086,1789085,629136,31 29 28 34 37,/rt
s1091,1798754,581851,31 38 34 25 50,/rt
s1092,1798661,582578,31 38 34 25 49,/rt
s1093,1798497,584078,31 38 34 25 49,/rt
s1094,1799286,586520,31 38 22 37 49,/rt
s1095,1798972,586196,31 38 34 25 49,/rt
s1096,1798483,584901,31 38 34 25 49,/rt
