#detector,X,Y,usage,trap
s0139,1812349,587174,31 24 0 0 0,/rt
s0143,1816719,567016,31 33 0 74 21,/rt
s0145,1817733,567109,31 33 39 35 21,/rt
s0160,1816699,567629,31 33 0 74 21,/rt
s0193,1805693,601311,31 36 20 59 29,/rt
s0195,1784039,564763,31 30 41 29 0,/rt
s0240,1816709,567862,31 33 0 74 21,/rt
s0243,1812422,587171,8 24 0 0 0,/rt
s0301,1784711,571160,31 30 41 29 0,/rt
s0303,1783846,570799,31 30 41 29 0,/rt
s0306,1783672,568960,31 30 41 29 0,/rt
s0308,1783846,566260,31 30 41 29 0,/rt
s0311,1783910,564953,31 30 41 29 0,/rt
s0312,1784127,563671,31 30 41 29 0,/rt
s0314,1782953,561357,31 30 41 29 0,/rt
s0317,1783828,565553,0 30 41 0 0,/rt
s0340,1813120,566989,31 33 0 74 21,/rt
s0347,1793797,590493,30 0 0 0 0,/rt
s0352,1792669,590604,30 35 30 33 0,/rt
s0353,1792301,590712,30 35 30 33 0,/rt
s0355,1791294,591554,30 35 30 33 0,/rt
s0357,1790476,592417,30 35 30 33 0,/rt
s0358,1789940,594591,30 35 30 33 0,/rt
s0359,1790317,592874,30 35 30 33 0,/rt
s0360,1790567,592183,30 35 30 33 0,/rt
s0371,1783794,570442,31 30 41 29 0,/rt
s0470,1785793,595797,30 35 30 33 0,/rt
s0471,1789358,595777,30 35 30 33 0,/rt
s0640,1803319,596805,31 36 20 59 29,/rt
s0641,1803640,596074,31 36 20 59 29,/rt
s0642,1804124,595419,31 36 20 59 29,/rt
s0643,1805464,591691,31 36 20 59 29,/rt
s0705,1804009,600650,31 36 20 59 29,/rt
s0762,1790191,602996,30 36 28 29 0,/rt
s0763,1789221,603333,30 36 28 29 0,/rt
s0764,1788149,603580,30 36 28 29 34,/rt
s0765,1804523,600988,31 36 20 59 0,/rt
s0766,1804769,602365,31 36 20 59 29,/rt
s0873,1789735,603117,30 36 28 29 0,/rt
s1018,1790631,592077,30 35 30 33 0,/rt
s1022,1809607,591845,8 24 0 0 0,/rt
s1024,1786749,596065,30 35 30 33 0,/rt
s1025,1783803,569252,31 30 0 70 0,/rt
s1028,1783888,565205,31 30 41 29 0,/rt
s1029,1784302,564089,31 30 41 29 0,/rt
s1056,1806621,573322,0 30 32 44 21,/rt
s1058,1807661,568500,0 30 32 44 21,/rt
s1059,1808874,561547,31 31 32 44 21,/rt
s1060,1809307,560536,31 31 32 44 21,/rt
s1061,1810360,559046,31 31 32 44 21,/rt
s1062,1807214,564638,31 31 32 44 0,/rt
s1063,1807275,565175,31 0 0 0 0,/rt
s1064,1806991,564377,31 31 32 44 21,/rt
s1065,1805830,563608,0 30 32 44 21,/rt
