#detector,X,Y,usage,trap
s0139,1812349,587174,19 15 19 22 35,/rt
s0140,1785124,571361,0 0 30 24 12,/rt
s0143,1816719,567016,31 33 28 35 35,/rt
s0145,1817733,567109,31 33 28 35 35,/rt
s0146,1816644,568290,31 35 0 0 0,/rt
s0160,1816699,567629,31 35 26 36 0,/rt
s0193,1805693,601311,20 14 44 0 44,/rt
s0195,1784039,564763,0 0 30 25 11,/rt
s0196,1783619,562295,0 0 30 25 11,/rt
s0240,1816709,567862,31 35 26 36 34,/rt
s0243,1812422,587171,31 15 14 22 35,/rt
s0301,1784711,571160,0 0 30 24 12,/rt
s0303,1783846,570799,0 0 30 24 12,/rt
s0306,1783672,568960,0 0 30 24 12,/rt
s0307,1783407,567201,0 0 30 25 40,/rt
s0308,1783846,566260,0 0 30 29 11,/rt
s0310,1783843,565432,0 0 30 25 11,/rt
s0311,1783910,564953,0 0 30 29 11,/rt
s0312,1784127,563671,0 0 30 25 11,/rt
s0313,1783583,563025,0 0 30 25 11,/rt
s0314,1782953,561357,0 0 30 29 11,/rt
s0315,1783809,565696,0 0 0 54 11,/rt
s0317,1783828,565553,0 0 30 25 13,/rt
s0339,1812739,566325,31 37 24 36 42,/rt
s0340,1813120,566989,30 37 24 36 42,/rt
s0347,1793797,590493,31 0 69 32 32,/rt
s0348,1793771,590493,31 0 69 32 32,/rt
s0349,1793619,590503,31 0 69 32 0,/rt
s0352,1792669,590604,31 0 69 32 32,/rt
s0353,1792301,590712,31 0 69 32 32,/rt
s0355,1791294,591554,31 0 69 32 32,/rt
s0357,1790476,592417,31 0 69 32 32,/rt
s0358,1789940,594591,31 0 69 32 32,/rt
s0359,1790317,592874,31 0 69 32 32,/rt
s0360,1790567,592183,31 0 69 32 32,/rt
s0371,1783794,570442,0 0 30 29 12,/rt
s0414,1803536,574439,31 13 14 0 0,/rt
s0470,1785793,595797,31 0 0 0 0,/rt
s0471,1789358,595777,31 0 69 32 32,/rt
s0488,1784343,563823,0 0 30 29 11,/rt
s0571,1805632,573275,31 13 0 0 0,/rt
s0572,1804094,574248,31 13 14 0 0,/rt
s0640,1803319,596805,31 0 0 88 34,/rt
s0641,1803640,596074,31 0 0 88 34,/rt
s0642,1804124,595419,31 0 0 88 34,/rt
s0643,1805464,591691,31 0 0 88 34,/rt
s0705,1804009,600650,20 14 44 0 44,/rt
s0762,1790191,602996,31 0 59 45 0,/rt
s0763,1789221,603333,31 0 59 44 0,/rt
s0764,1788149,603580,31 0 59 44 0,/rt
s0765,1804523,600988,31 14 44 0 44,/rt
s0766,1804769,602365,31 0 78 0 44,/rt
s0796,1789569,562123,0 0 28 0 0,/rt
s0873,1789735,603117,31 0 59 44 0,/rt
s0874,1789720,603167,31 0 0 0 0,/rt
s0933,1783824,565661,0 0 30 29 11,/rt
s0934,1783827,565642,0 0 30 25 11,/rt
s1018,1790631,592077,31 0 69 32 32,/rt
s1019,1785427,595533,31 0 0 0 0,/rt
s1022,1809607,591845,19 15 14 22 14,/rt
s1024,1786749,596065,31 0 0 0 0,/rt
s1025,1783803,569252,0 0 30 29 12,/rt
s1028,1783888,565205,0 0 30 29 0,/rt
s1029,1784302,564089,0 0 30 25 11,/rt
s1030,1783323,561606,0 0 30 29 11,/rt
s1056,1806621,573322,31 13 14 45 38,/rt
s1057,1807507,569465,31 30 20 39 38,/rt
s1058,1807661,568500,0 30 20 39 38,/rt
s1059,1808874,561547,22 0 28 44 33,/rt
s1060,1809307,560536,31 0 28 44 33,/rt
s1061,1810360,559046,22 0 28 44 33,/rt
s1062,1807214,564638,15 0 28 44 33,/rt
s1063,1807275,565175,22 0 28 44 33,/rt
s1064,1806991,564377,22 0 28 44 33,/rt
s1065,1805830,563608,0 0 50 39 38,/rt
s1066,1807014,565753,0 30 20 39 38,/rt
s1067,1785572,557926,28 7 14 0 0,/rt
s1069,1793669,604237,0 27 22 30 0,/rt
s1070,1792458,604815,0 27 22 30 0,/rt
s1071,1792266,605059,0 27 22 30 0,/rt
s1072,1792027,605704,0 27 22 30 0,/rt
s1073,1785266,609179,19 0 28 51 30,/rt
s1074,1787046,610387,19 0 28 51 30,/rt
s1075,1787209,610412,19 0 28 51 30,/rt
s1076,1788194,610844,19 0 28 51 30,/rt
s1077,1789160,610660,19 0 28 51 30,/rt
s1078,1790584,608125,19 0 28 51 30,/rt
s1079,1790673,607926,19 0 28 51 30,/rt
s1083,1787938,622442,0 0 49 52 21,/rt
s1084,1790048,624731,19 0 26 39 40,/rt
s1085,1789022,627838,19 0 26 39 40,/rt
s1086,1789085,629136,19 0 26 39 40,/rt
s1090,1802612,561604,0 24 19 39 38,/rt
s1091,1798754,581851,0 19 0 40 44,/rt
s1092,1798661,582578,0 19 0 40 44,/rt
s1093,1798497,584078,0 19 0 40 44,/rt
s1094,1799286,586520,0 19 0 40 44,/rt
s1095,1798972,586196,0 19 0 40 44,/rt
s1096,1798483,584901,0 19 0 40 44,/rt
s1102,1787859,598884,0 14 14 0 0,/bs
s1103,1793085,597838,0 14 14 0 0,/bs
s1104,1804499,616123,0 14 14 0 0,/bs
s1105,1806065,610443,0 14 14 0 0,/bs
s1107,1793045,632515,0 14 14 0 0,/bs
s1116,1797530,610578,0 13 13 0 0,/bs
s1118,1784607,608887,0 13 15 0 0,/bs
s1151,1793368,561228,14 0 18 8 15,/rt
s1152,1793505,561388,14 0 18 23 15,/rt
s1153,1804147,601794,0 14 14 0 0,/bs
s1155,1809623,588604,0 13 14 0 0,/bs
s1156,1809193,568365,0 13 16 50 0,/bs
s1157,1808331,562189,31 0 0 0 0,/rt
s1158,1790523,569438,0 13 14 0 0,/bs
s1159,1794066,583411,0 13 13 0 0,/bs
s1160,1802816,574732,30 13 0 0 0,/rt
s1161,1794286,564824,0 12 14 0 0,/bs
s1164,1802220,555213,0 12 12 0 0,/bs
s1165,1794590,546943,0 11 14 0 0,/bs
s1166,1783151,557693,0 12 14 0 0,/bs
s1171,1810186,595094,0 30 0 52 0,/rt
s1172,1802699,575100,0 13 14 0 0,/bs
s1175,1784394,563827,0 0 30 29 11,/rt
s1179,1788671,603406,0 0 61 45 0,/rt
s1180,1812100,570809,0 0 31 0 0,/rt
s1182,1783776,570935,0 0 0 29 12,/rt
s1183,1783597,562682,0 0 0 32 11,/rt
s1186,1783855,566880,0 0 0 31 11,/rt
s1187,1783826,563427,0 0 0 31 11,/rt
