#detector,X,Y,usage,trap
s0051,1786131,584565,0 12 11 0 0,/bs
s0053,1796144,582052,0 12 14 0 0,/bs
s0060,1786678,573235,0 14 14 0 0,/bs
s0139,1812349,587174,0 0 0 31 36,/rt
s0140,1785124,571361,0 0 60 20 40,/rt
s0143,1816719,567016,0 0 31 27 41,/rt
s0145,1817733,567109,0 0 0 31 0,/rt
s0146,1816644,568290,0 0 0 31 41,/rt
s0160,1816699,567629,0 0 0 31 41,/rt
s0161,1815651,569554,0 0 0 31 41,/rt
s0184,1815658,569556,0 0 0 31 41,/rt
s0193,1805693,601311,31 0 0 71 30,/rt
s0195,1784039,564763,0 0 30 51 0,/rt
s0196,1783619,562295,0 0 31 20 0,/rt
s0224,1804026,571191,0 15 13 0 0,/bs
s0225,1789122,541803,0 16 11 0 0,/bs
s0228,1809560,588710,0 14 13 0 0,/bs
s0234,1816468,568723,0 0 0 31 41,/rt
s0240,1816709,567862,0 0 0 31 41,/rt
s0241,1817952,567099,30 0 0 27 41,/rt
s0242,1818191,567099,0 0 0 27 41,/rt
s0243,1812422,587171,0 30 0 49 36,/rt
s0257,1806223,598212,0 9 12 0 0,/bs
s0292,1779622,601605,0 0 12 0 0,/bs
s0301,1784711,571160,0 0 32 18 40,/rt
s0303,1783846,570799,0 0 31 20 40,/rt
s0306,1783672,568960,0 0 31 20 40,/rt
s0308,1783846,566260,0 0 31 20 0,/rt
s0310,1783843,565432,0 0 31 20 0,/rt
s0311,1783910,564953,0 0 31 20 0,/rt
s0313,1783583,563025,0 0 31 20 0,/rt
s0314,1782953,561357,0 0 31 20 0,/rt
s0315,1783809,565696,0 0 31 20 0,/rt
s0317,1783828,565553,0 0 31 20 0,/rt
s0339,1812739,566325,0 0 31 27 36,/rt
s0340,1813120,566989,0 0 31 27 36,/rt
s0347,1793797,590493,0 0 31 30 36,/rt
s0348,1793771,590493,0 0 31 30 36,/rt
s0349,1793619,590503,0 0 31 30 36,/rt
s0352,1792669,590604,0 0 31 30 36,/rt
s0353,1792301,590712,0 0 31 30 36,/rt
s0355,1791294,591554,0 0 31 30 36,/rt
s0357,1790476,592417,0 0 31 30 36,/rt
s0358,1789940,594591,0 0 31 30 36,/rt
s0359,1790317,592874,0 0 31 30 36,/rt
s0360,1790567,592183,0 0 31 30 36,/rt
s0371,1783794,570442,0 0 31 20 40,/rt
s0470,1785793,595797,0 0 31 30 36,/rt
s0471,1789358,595777,0 0 31 30 36,/rt
s0485,1784749,595206,0 0 31 0 0,/rt
s0486,1783892,570944,0 30 0 0 0,/rt
s0582,1802165,561872,0 15 13 0 0,/bs
s0588,1786874,573035,0 30 0 49 41,/rt
s0589,1786515,573699,0 30 0 49 41,/rt
s0590,1785599,575076,0 30 0 0 90,/rt
s0636,1789469,625005,0 30 0 0 0,/rt
s0637,1791066,621545,0 30 0 0 0,/rt
s0638,1800386,617634,31 0 31 36 29,/rt
s0639,1800439,617621,31 0 31 36 29,/rt
s0640,1803319,596805,0 30 0 54 30,/rt
s0641,1803640,596074,0 30 0 54 30,/rt
s0642,1804124,595419,0 30 0 54 30,/rt
s0643,1805464,591691,0 30 0 54 30,/rt
s0644,1789748,603038,0 0 30 43 35,/rt
s0700,1800642,617623,0 13 12 0 0,/bs
s0705,1804009,600650,31 0 0 71 30,/rt
s0706,1790249,608864,0 15 13 0 0,/bs
s0721,1786675,582948,0 0 30 0 76,/rt
s0752,1786492,582011,0 0 30 0 76,/rt
s0759,1800170,617621,31 0 31 36 29,/rt
s0762,1790191,602996,0 0 30 43 0,/rt
s0763,1789221,603333,0 0 31 23 42,/rt
s0764,1788149,603580,0 0 31 20 45,/rt
s0765,1804523,600988,31 0 0 71 30,/rt
s0766,1804769,602365,0 0 0 31 30,/rt
s0871,1786299,615613,0 15 13 0 0,/bs
s0872,1789735,603120,0 13 13 0 0,/bs
s0873,1789735,603117,31 13 0 56 35,/rt
s0874,1789720,603167,31 0 0 69 35,/rt
s0876,1804728,577891,0 16 11 0 0,/bs
s0878,1783601,585958,0 0 0 58 41,/rt
s0879,1783574,585989,30 0 0 58 41,/rt
s0880,1783729,586024,0 12 11 0 0,/bs
s0882,1786088,574652,0 0 0 49 41,/rt
s0883,1786118,574652,0 0 0 49 41,/rt
s0887,1805078,541517,0 13 12 0 0,/bs
s0889,1796779,547898,0 13 12 0 0,/bs
s0894,1790101,546536,0 17 11 0 0,/bs
s1002,1783871,586000,0 30 0 46 41,/rt
s1005,1785425,585911,0 0 0 35 41,/rt
s1006,1783976,585985,0 0 0 35 41,/rt
s1018,1790631,592077,0 0 31 30 36,/rt
s1019,1785427,595533,0 0 31 30 36,/rt
s1022,1809607,591845,0 0 0 31 36,/rt
s1024,1786749,596065,0 0 0 31 36,/rt
s1025,1783803,569252,0 0 0 31 40,/rt
s1026,1783534,568340,0 0 0 31 40,/rt
s1028,1783888,565205,0 0 0 31 0,/rt
s1029,1784302,564089,0 0 0 31 0,/rt
s1030,1783323,561606,0 0 31 20 0,/rt
