#detector,X,Y,usage,trap
s0045,1789894,603034,0 14 10 0 0,/bs
s0051,1786131,584565,0 12 15 0 0,/bs
s0054b,1809246,592973,0 16 11 0 0,/rt
s0054c,1809245,592973,31 0 0 0 0,/rt
s0055,1812432,587115,0 16 11 0 0,/bs
s0060,1786678,573235,0 15 15 0 0,/bs
s0099,1778586,555735,0 12 15 0 0,/bs
s0117,1785569,609382,0 14 11 0 0,/bs
s0134,1784260,548127,0 12 15 0 0,/bs
s0135,1790153,544236,0 12 15 0 0,/bs
s0139,1812349,587174,31 16 11 0 0,/rt
s0140,1785124,571361,0 0 0 62 0,/rt
s0142,1799440,575782,0 17 10 0 0,/bs
s0143,1816719,567016,0 15 11 0 0,/rt
s0144,1817652,567132,31 15 11 0 0,/rt
s0145,1817733,567109,31 15 11 0 0,/rt
s0146,1816644,568290,31 0 0 0 0,/rt
s0147,1815564,569749,0 15 11 0 0,/bs
s0148,1802176,561647,0 16 11 0 0,/bs
s0150,1806202,542907,0 19 8 0 0,/bs
s0159,1802211,555240,0 0 11 0 0,/bs
s0160,1816699,567629,0 30 11 0 0,/rt
s0161,1815651,569554,0 30 11 0 0,/rt
s0171,1807629,610954,0 0 14 0 0,/bs
s0172,1781068,606016,0 0 14 0 0,/bs
s0177,1800144,569636,0 0 14 0 0,/bs
s0178,1805173,559266,0 0 14 0 0,/bs
s0179,1783817,565423,0 0 14 0 0,/bs
s0184,1815658,569556,0 0 30 0 0,/rt
s0191,1801993,598765,0 12 10 0 0,/bs
s0192,1803944,595912,0 0 10 0 0,/bs
s0193,1805693,601311,0 12 10 0 0,/rt
s0194,1783696,568908,0 0 0 31 0,/rt
s0195,1784039,564763,0 0 0 31 0,/rt
s0196,1783619,562295,0 0 0 31 0,/rt
s0511,1783589,535485,0 0 0 6 0,/rt
