#detector,X,Y,usage,trap
s0054b,1809246,592973,0 13 14 0 0,/rt
s0054c,1809245,592973,31 0 0 0 0,/rt
s0139,1812349,587174,31 13 14 0 0,/rt
s0143,1816719,567016,31 13 14 0 0,/rt
s0144,1817652,567132,31 13 14 0 0,/rt
s0145,1817733,567109,31 13 14 0 0,/rt
s0146,1816644,568290,31 13 14 0 0,/rt
s0160,1816699,567629,31 13 14 0 0,/rt
s0161,1815651,569554,31 13 0 0 0,/rt
s0184,1815658,569556,31 13 14 0 0,/rt
s0193,1805693,601311,0 30 11 0 0,/rt
s0194,1783696,568908,0 0 30 66 0,/rt
s0195,1784039,564763,0 0 30 0 0,/rt
s0196,1783619,562295,0 0 30 0 0,/rt
s0205,1782433,557946,31 13 14 0 0,/rt
s0206,1782507,557991,0 13 14 0 0,/rt
s0207,1782504,557992,0 13 14 0 0,/bs
s0208,1796135,582707,0 12 14 0 0,/bs
s0223,1796160,554513,0 13 14 0 0,/bs
s0224,1804026,571191,0 13 14 0 0,/bs
s0225,1789122,541803,0 13 14 0 0,/bs
s0227,1790427,565324,0 13 14 0 0,/bs
s0228,1809560,588710,0 13 14 0 0,/bs
s0232,1794471,546875,0 13 14 0 0,/bs
s0234,1816468,568723,0 13 14 0 0,/rt
s0239,1815826,569491,0 30 14 0 0,/rt
s0240,1816709,567862,0 30 14 0 0,/rt
s0241,1817952,567099,0 30 14 0 0,/rt
s0242,1818191,567099,0 30 14 0 0,/rt
s0243,1812422,587171,0 30 14 0 0,/rt
s0244,1809350,592707,0 30 14 0 0,/rt
s0257,1806223,598212,0 13 11 0 0,/bs
s0258,1788990,610432,0 13 12 0 0,/bs
s0259,1793428,603779,0 12 12 0 0,/bs
s0292,1779622,601605,0 14 15 0 0,/bs
s0296,1785083,579613,0 12 14 0 0,/bs
s0301,1784711,571160,0 0 30 66 0,/rt
s0302,1784321,570999,0 0 29 66 0,/rt
s0303,1783846,570799,0 0 30 66 0,/rt
s0304,1783853,570766,0 0 30 66 0,/rt
s0305,1783820,570516,0 0 30 66 0,/rt
s0306,1783672,568960,0 0 30 66 0,/rt
s0307,1783407,567201,0 0 30 66 0,/rt
s0308,1783846,566260,0 0 30 0 0,/rt
s0310,1783843,565432,0 0 30 0 0,/rt
s0311,1783910,564953,0 0 30 0 0,/rt
s0312,1784127,563671,0 0 30 0 0,/rt
s0313,1783583,563025,0 0 30 0 0,/rt
s0323,1783822,570593,0 0 30 66 0,/rt
s0339,1812739,566325,0 0 0 30 0,/rt
s0340,1813120,566989,0 0 0 30 0,/rt
s0347,1793797,590493,0 0 0 31 0,/rt
s0348,1793771,590493,0 0 0 31 0,/rt
s0349,1793619,590503,0 0 0 35 0,/rt
s0350,1792703,590613,0 0 0 35 0,/rt
s0351,1792669,590648,0 0 0 31 0,/rt
s0352,1792669,590604,0 0 0 31 0,/rt
s0353,1792301,590712,0 0 0 31 0,/rt
s0354,1791604,591206,0 0 0 31 0,/rt
s0355,1791294,591554,0 0 0 31 0,/rt
s0356,1791154,591700,0 0 0 31 0,/rt
s0357,1790476,592417,0 0 0 31 0,/rt
s0359,1790317,592874,0 0 0 31 0,/rt
s0360,1790567,592183,0 0 0 31 0,/rt
s0361,1791427,591348,0 0 0 31 0,/rt
s0370,1784568,571188,0 0 0 31 0,/rt
s0371,1783794,570442,0 0 0 31 0,/rt
s0372,1783678,568806,0 0 0 31 0,/rt
