#detector,X,Y,usage,trap
s0139,1812349,587174,31 20 21 30 33,/rt
s0143,1816719,567016,31 29 60 17 28,/rt
s0145,1817733,567109,31 29 60 17 28,/rt
s0160,1816699,567629,31 29 60 17 28,/rt
s0193,1805693,601311,31 34 37 30 26,/rt
s0195,1784039,564763,31 29 35 21 28,/rt
s0240,1816709,567862,31 29 60 17 28,/rt
s0243,1812422,587171,16 20 21 30 33,/rt
s0301,1784711,571160,31 29 35 21 28,/rt
s0303,1783846,570799,31 29 35 21 28,/rt
s0306,1783672,568960,31 29 35 21 28,/rt
s0308,1783846,566260,31 29 35 21 28,/rt
s0311,1783910,564953,31 29 35 21 28,/rt
s0312,1784127,563671,31 29 35 21 28,/rt
s0314,1782953,561357,31 29 35 21 28,/rt
s0317,1783828,565553,31 29 35 21 28,/rt
s0340,1813120,566989,31 29 60 17 28,/rt
s0347,1793797,590493,31 29 29 27 34,/rt
s0352,1792669,590604,31 29 29 27 34,/rt
s0353,1792301,590712,31 29 29 27 34,/rt
s0355,1791294,591554,31 29 29 27 34,/rt
s0357,1790476,592417,31 29 29 27 34,/rt
s0358,1789940,594591,31 29 29 27 34,/rt
s0359,1790317,592874,31 29 29 27 34,/rt
s0360,1790567,592183,31 29 29 27 34,/rt
s0403,1806531,581218,31 30 35 28 32,/rt
s0415,1803154,574312,31 28 35 28 34,/rt
s0471,1789358,595777,31 29 29 27 34,/rt
s0571,1805632,573275,31 28 35 28 34,/rt
s0572,1804094,574248,31 28 35 28 34,/rt
s0639,1800439,617621,31 31 35 38 44,/rt
s0640,1803319,596805,31 34 37 30 26,/rt
s0641,1803640,596074,31 34 37 30 26,/rt
s0643,1805464,591691,31 34 37 30 26,/rt
s0705,1804009,600650,31 34 37 30 26,/rt
s0759,1800170,617621,31 31 35 38 44,/rt
s0762,1790191,602996,31 30 49 35 23,/rt
s0763,1789221,603333,31 30 49 35 23,/rt
s0764,1788149,603580,31 30 49 35 23,/rt
s0765,1804523,600988,31 34 37 30 26,/rt
s0766,1804769,602365,31 34 37 30 26,/rt
s0873,1789735,603117,31 30 49 35 23,/rt
s1018,1790631,592077,31 29 29 27 34,/rt
s1022,1809607,591845,16 20 21 30 18,/rt
s1024,1786749,596065,31 29 29 27 34,/rt
s1028,1783888,565205,31 29 35 21 28,/rt
s1029,1784302,564089,31 29 35 21 28,/rt
s1056,1806621,573322,31 28 35 28 34,/rt
s1058,1807661,568500,31 28 35 28 34,/rt
s1059,1808874,561547,31 28 35 28 34,/rt
s1061,1810360,559046,31 28 35 28 34,/rt
s1064,1806991,564377,31 28 35 28 34,/rt
s1065,1805830,563608,31 28 35 28 34,/rt
s1066,1807014,565753,31 28 35 28 34,/rt
s1067,1785572,557926,0 0 31 16 35,/rt
s1070,1792458,604815,31 44 32 34 26,/rt
s1071,1792266,605059,31 44 32 34 26,/rt
s1073,1785266,609179,31 16 23 30 32,/rt
s1074,1787046,610387,31 16 23 30 32,/rt
s1075,1787209,610412,31 16 23 30 32,/rt
s1076,1788194,610844,31 16 23 30 32,/rt
s1077,1789160,610660,31 16 23 30 32,/rt
s1079,1790673,607926,31 16 23 30 32,/rt
s1083,1787938,622442,31 19 20 33 28,/rt
s1084,1790048,624731,31 15 25 28 26,/rt
s1085,1789022,627838,31 3 37 28 26,/rt
s1086,1789085,629136,31 15 25 28 26,/rt
s1091,1798754,581851,31 34 32 45 25,/rt
s1092,1798661,582578,31 34 32 37 33,/rt
s1093,1798497,584078,31 34 32 45 25,/rt
s1094,1799286,586520,31 34 32 45 0,/rt
s1095,1798972,586196,31 34 32 45 25,/rt
s1096,1798483,584901,31 34 32 45 25,/rt
s1151,1793368,561228,31 22 41 21 36,/rt
s1152,1793505,561388,31 22 41 21 36,/rt
s1175,1784394,563827,31 29 35 21 28,/rt
s1179,1788671,603406,31 30 49 35 23,/rt
s1183,1783597,562682,31 29 35 21 28,/rt
s1194,1794558,600174,0 30 30 31 32,/rt
s1196,1789800,591055,31 29 29 27 34,/rt
s1198,1789243,590611,31 29 29 27 34,/rt
s1200,1796143,601661,31 30 41 23 42,/rt
s1201,1795967,602042,31 30 41 23 42,/rt
s1202,1809962,580891,31 30 35 28 32,/rt
s1203,1810193,580731,31 30 35 28 32,/rt
s1211,1803399,582522,31 30 35 28 32,/rt
s1212,1802739,582582,31 30 35 28 32,/rt
s1213,1801988,582750,31 30 35 28 32,/rt
s1214,1795563,583041,31 33 33 28 28,/rt
s1215,1795408,584072,31 33 33 28 28,/rt
s1216,1795532,583472,31 33 33 28 28,/rt
s1217,1796990,577283,31 33 33 28 28,/rt
s1218,1796912,576942,31 33 33 28 38,/rt
s1220,1794262,549462,31 36 39 24 28,/rt
s1225,1798169,578017,31 44 24 37 28,/rt
s1226,1797777,576286,31 44 24 37 28,/rt
s1227,1796956,573833,31 44 24 37 28,/rt
s1228,1796842,573398,31 44 24 37 28,/rt
s1229,1796540,572482,31 44 24 37 28,/rt
s1230,1794930,568143,31 44 24 37 28,/rt
s1231,1792171,563817,0 30 0 70 0,/rt
s1232,1783664,565942,31 29 35 21 28,/rt
s1233,1787238,563446,31 36 25 40 40,/rt
s1234,1786569,563790,31 36 25 40 40,/rt
s1235,1787370,563348,31 36 25 40 40,/rt
s1239,1786071,564306,31 36 25 40 40,/rt
s1240,1791338,614765,31 18 23 30 32,/rt
s1241,1791206,614039,31 18 23 30 32,/rt
s1248,1796312,542942,31 36 39 24 28,/rt
s1250,1788468,590064,31 29 29 27 34,/rt
s1254,1786627,590129,31 29 29 27 34,/rt
s1256,1785027,589918,31 29 29 27 34,/rt
s1268,1798273,552524,31 43 43 34 7,/rt
s1269,1801054,550592,31 5 39 24 28,/rt
s1270,1809332,560519,31 28 35 28 34,/rt
