#detector,X,Y,usage,trap
s0051,1786131,584565,0 17 13 0 0,/bs
s0054a,1809183,593079,0 18 13 0 0,/bs
s0054d,1809183,593079,0 0 0 31 0,/rt
s0139,1812349,587174,31 18 14 24 0,/rt
s0143,1816719,567016,0 15 14 45 0,/rt
s0145,1817733,567109,0 16 14 24 0,/rt
s0150,1806202,542907,0 15 15 0 0,/bs
s0160,1816699,567629,0 0 0 24 0,/rt
s0193,1805693,601311,0 15 14 50 0,/rt
s0225,1789122,541803,0 15 16 0 0,/bs
s0339,1812739,566325,0 14 14 45 0,/rt
s0340,1813120,566989,0 14 14 24 0,/rt
s0403,1806531,581218,31 0 31 46 0,/rt
s0404,1795634,542661,31 18 0 84 0,/rt
s0414,1803536,574439,0 30 14 24 0,/rt
s0415,1803154,574312,0 30 14 45 0,/rt
s0571,1805632,573275,0 30 14 69 0,/rt
s0572,1804094,574248,0 30 14 45 0,/rt
s0575,1806094,543611,0 0 15 0 0,/rt
s0582,1802165,561872,0 0 14 0 0,/bs
s0588,1786874,573035,0 0 0 64 0,/rt
s0589,1786515,573699,0 0 0 64 0,/rt
s0590,1785599,575076,0 0 0 33 0,/rt
s0636,1789469,625005,0 0 0 34 0,/rt
s0637,1791066,621545,0 0 0 50 0,/rt
s0638,1800386,617634,0 30 14 33 0,/rt
s0639,1800439,617621,0 0 30 33 0,/rt
s0640,1803319,596805,0 0 30 50 0,/rt
s0641,1803640,596074,0 0 30 33 0,/rt
s0642,1804124,595419,0 0 30 33 0,/rt
s0643,1805464,591691,0 0 30 33 0,/rt
s0644,1789748,603038,0 30 15 48 0,/rt
s0650,1802304,539863,0 14 0 0 0,/rt
s0668,1796448,544798,0 10 18 0 0,/bs
s0700,1800642,617623,0 14 14 0 0,/bs
s0705,1804009,600650,0 16 11 51 0,/rt
s0706,1790249,608864,0 12 16 0 0,/bs
s0721,1786675,582948,0 0 0 43 0,/rt
s0751,1785320,580017,31 0 30 43 0,/rt
s0752,1786492,582011,31 17 13 43 0,/rt
s0759,1800170,617621,0 30 14 33 0,/rt
s0762,1790191,602996,0 30 15 48 0,/rt
s0763,1789221,603333,0 0 15 48 0,/rt
s0764,1788149,603580,0 30 15 48 0,/rt
s0765,1804523,600988,0 30 13 50 0,/rt
s0766,1804769,602365,0 0 13 33 0,/rt
s0796,1789569,562123,0 0 31 0 0,/rt
