#detector,X,Y,usage,trap
s0038,1793432,612212,0 10 18 0 0,/bs
s0039,1790133,609255,0 9 18 0 0,/bs
s0045,1789894,603034,0 11 16 0 0,/bs
s0046,1808766,599530,0 14 13 0 0,/bs
s0047,1803944,595912,0 10 18 0 0,/bs
s0051,1786131,584565,0 14 13 0 0,/bs
s0053,1796144,582052,0 14 13 0 0,/bs
s0054a,1809183,593079,0 14 13 0 0,/bs
s0055,1812432,587115,0 14 13 0 0,/bs
s0060,1786678,573235,0 14 13 0 0,/bs
s0063,1780136,554624,0 14 13 0 0,/bs
s0065,1790216,544200,0 14 15 0 0,/bs
s9603,1804783,615617,8 13 15 0 0,/bs
s9631,1807442,608618,8 13 15 0 0,/bs
