form_record_id,Bear and Collar Information,Capture ID,Collar Number,GPS/VHF Functioning?,L ear tag color,L ear tag #,R ear tag colour,R ear tag #,Collar Num & Ear tag Photos,Sex,Rump fat thickness (cm),Date & Time,Location (address),Location (latitude),Location (longitude),Location,Surveyor,Site Photos,Photos of Bear as Found,Suspected Date of Mortality,"Photos Pertaining to Mortality (wound, broken bones, etc)",Suspected Cause of Mortality?,Killed by COS,Mortality Reported?,CI Number
rec-33808826eb7147a2b84daf42e67971c8,,Tommy,39690,Yes,Black,101,Black,101,,M,1.5,2020-07-03 10:58,"East Kootenay BC, Canada",50.179523,-114.876808,"East Kootenay BC, Canada [50.179523,-114.876808]","Clayton Lamb, Trish Burley",,9EA51143-42FA-4F4A-84C9-CE06927128F9.jpg,2020-07-02,,Defence of life or property ,Yes,Yes,127746
rec-88bc80cc82cf4510a0ca7973bebb1160,,Turkey,,No,,,,,IMG_8657.heic; IMG_8654.heic,,,2022-10-30 13:59,"East Kootenay BC, Canada",49.583248,-114.974287,"East Kootenay BC, Canada [49.583248,-114.974287]",,IMG_8575.heic; IMG_1390.heic; IMG_1389.heic; IMG_8643.heic; IMG_8646.heic,IMG_8660.heic; IMG_8661.heic; IMG_8653.heic,2022-10-30,,Defence of life or property ,Yes,Yes,
rec-a082d119b1ba46c49b11f5ac77780a5c,,Marilyn,6275,Yes,Black,104,Black,104,,F,0,2020-06-08 10:38,,49.71368,-114.736338," [49.713680,-114.736338]",Clayton Lamb,3C5DA037-7A36-45E5-8201-592979F93233.jpg; AA7F4A33-8D5E-4240-B2D2-389439EC3A97.jpg,AB6ADC9E-C18E-4A63-B3C3-14A39017EFD0.jpg; B6A92E73-0413-476C-B5DD-2EC464E26140.jpg; 22F3D2EE-BCD6-46AD-9340-2A3E81FD7EBE.jpg; BA74D13C-2BD2-4A2A-9D91-5BDEBE7D9708.jpg,2020-06-07,,Natural,No,No,
rec-6bd69961d5ee4ea0b36199a078013e90,,Rachel,42580,Yes,Black,91,Black,91,FC43F6F5-6D03-4EC3-B226-9DB25449493D.jpg,F,1.5,2022-05-16 18:37,"East Kootenay BC, Canada",49.438874,-115.038708,"East Kootenay BC, Canada [49.438874,-115.038708]","Clayton Lamb, Ryan Gordon, Denny Chretien",221AFCB3-7E99-4D2A-B484-3993FCB30839~L0~001.jpeg; 8CABC827-BDCA-4D82-A0DD-E6AA79B975FC~L0~001.jpeg; 377DCAA4-C8DC-4EAF-B5D9-688B5B78BAEE.jpg; 98892954-283C-4871-8FA3-B3B01842CB22.jpg; 932662F2-0BD4-4C25-8C78-F2C275963C45.jpg,351F9F02-BCA4-40A4-9030-5FE4ACA44921.JPG; 6FB08E71-04F8-4FAA-9375-7DD0A919AAE6~L0~001.jpeg; A50BC1BC-EF97-4697-9F08-C329A6C19A46~L0~001.jpeg; 77BCCBB0-1877-4F3B-976E-6762E0A8475C~L0~001.jpeg; 03372BC7-2D42-435E-847C-7C81FAA44F59~L0~001.jpeg; 5F323E47-9BAA-4D5A-8D42-DD2ED8FED6DD~L0~001.jpeg,2022-05-15,543A096E-5A16-458C-9842-A99E350C8CCD.JPG,Poaching,No,No,
rec-39b8dd506a304075951ce8262a825319,,Hartley,6007,Yes,Black,59,Black,59,,M,,2017-10-17 11:00,"49.348859, -115.004710",49.348859,-115.00471,"49.348859, -115.004710 [49.348859,-115.004710]","Trish Burley, Frank Deboon",,,2017-10-16,,Rail,No,Yes,127683
rec-0ec8f1f6dc6f4706863d6ffd3429eda5,,Patty,80071,Yes,Black,115,Black,115,C6E4083D-F835-4456-A362-ADD89B6E9931.jpg,F,4,2022-10-26 16:47,"1320 Highway 3, Fernie BC V0B 1M5, Canada",49.550612,-115.003696,"1320 Highway 3, Fernie BC V0B 1M5, Canada [49.550612,-115.003696]",Clayton Lamb,C8F46384-D91E-4D99-9617-695EF07401BD.jpg; 7D4E57EC-132E-46A1-8550-44E285A5BC0C.jpg; 6FA1B20E-0C8F-4FBA-8E1A-6311211C2716.jpg; 8DDF4DF7-D4B3-4436-BA1A-3B05F78E53C2.jpg; 41EAC451-0391-4440-9075-109C51C9FF6E.jpg,57015B39-4D13-4211-8FE6-D2DEC0E77A97.jpg; AA15D271-29C4-4E8D-B9DF-03422B7DAF4B.jpg; 13F023B7-6696-481A-A742-60AA8A7EF9A5.jpg; 0932BB91-DC52-4790-B2DA-46A364D58CEE.jpg,2022-10-15,,Rail,No,No,
rec-327a197182704963949239ed72a0eb67,,Willow,6276,Yes,Black,97,Black,97,B85B1B05-0275-477A-9E27-C12D8EDFAD62.jpg,F,,2021-10-06 17:30,"Elko, East Kootenay BC, Canada",49.306925,-115.081547,"Elko, East Kootenay BC, Canada [49.306925,-115.081547]",Clayton Lamb,3579F720-A8DA-489C-B64D-A515795441B3~L0~001.jpeg; BB7D1E75-DEEF-470C-9BC2-5B132F00944A~L0~001.jpeg; 60016B35-67C8-476A-AD5E-0ADD3B1BC33E~L0~001.jpeg; D23FD674-61FD-471B-8042-135E44BE4CCD~L0~001.jpeg,1A4B42CC-792B-4099-BEC0-A887C6F8F9E3~L0~001.jpeg; 084865FF-212F-4EFD-92BC-F692C7A7CA45~L0~001.jpeg; A0AE1BC8-6415-4EC3-A77B-965EE7F79454~L0~001.jpeg; A30E73DD-81CE-46F1-8513-019E04FE918A~L0~001.jpeg; D4935572-CDFE-438A-8B11-2861AF0EF5C5~L0~001.jpeg; 1159E6B6-C96D-44C4-8706-5B08198A3CBC~L0~001.jpeg,2021-10-06,6669A08C-5F51-4DBA-9E96-D0DE4321C0AC~L0~001.jpeg; 8BB7E393-7C9A-453C-AC2A-B456EF7B8D8E~L0~001.jpeg; D1C42575-6AFF-4977-9B04-2DD119C3B444~L0~001.jpeg; 703E1942-0A16-4E7F-B215-21B5CB4B003F~L0~001.jpeg,Rail,No,Yes,148321
rec-cf09c38612fd4375adb11f2573d9ed29,,Bill,15107,Yes,Red,381,,,93BA37AA-A8C3-40C1-9325-09ADF6E6B113.jpg,M,3.5,2016-11-06 13:54,,49.731674,-114.869832," [49.731674,-114.869832]",Clayton Lamb,18390E05-9C1F-48CC-94FB-B04CAE286181.jpg; FD6B89BD-3C40-4BBA-9588-2BF9EA095A38.jpg; 3A779EA5-AE46-4866-A384-B73373A5969B.jpg,14A13CFD-71BB-4FC9-B2B1-57738AE316A9.jpg; 800EB91F-9C9E-46F1-80BC-00126CDC6975.jpg,2016-11-04,335C5C68-0E4F-4B59-B82B-CA4FDDAC117B.jpg; DC50253E-356B-4930-B5EC-FEDE958BB235.jpg; 98EFA62F-60CB-498A-AEE9-A1DB5FFC277E.jpg; 46C5EB23-F2E0-4F3C-88A6-05973FB11FBD.jpg; AF070845-7CA1-4481-AA91-774B41E8E017.jpg; 84F665AB-AA38-408A-A2E3-61D23B39A61B.jpg; E56EF47C-EF05-4B38-9510-E4AF7DF9CA43.jpg,Road,No,No,134689
rec-4f6b8dfd623e418fa773ed0d14a31c29,,Monica,,No,Black,85,Black,85,72B6BBD0-98EB-4DF8-867C-1D7FB0547514.jpg,F,5,2020-10-30 21:14,,49.620965,-114.935707," [49.620965,-114.935707]","Clayton Lamb, Ryan Gordon",CDA447E2-0061-48D8-9EC0-978C0CB7461C~L0~001.jpeg; 97DBB6B0-A92A-4D68-9ACF-62314FB318EE~L0~001.jpeg,,2020-10-30,858A4A82-A39C-441F-9763-4508B9D1534D~L0~001.jpeg; E1D1974C-30A3-4487-BA71-F44D96172D01~L0~001.jpeg,Road,No,Yes,148309
rec-9c8afd3ab2964f60aefe42492d578fd5,,Sid,6005,Yes,,,Black,58,,M,,2017-09-12 18:19,,49.949089,-114.913468," [49.949089,-114.913468]",Clayton Lamb,2DDBF041-793B-46FB-985B-4820C3D6C5B2.jpg; DA88DD3F-5796-4590-B999-40A52DC4BC98.jpg,A77AC3D8-073C-4AAF-9591-798C22922140.jpg; 7C52BC29-E4C5-4471-8239-B5549CF58A9D.jpg; 7FB510B7-18C6-4DBE-B764-7C556E97C55E.jpg,2017-08-05,9BA78514-14C9-4907-99FE-8DAF7C952CCD.jpg; 4E9E3C90-3565-4F56-AF2A-9AD80910BCF5.jpg; 2C12AE90-C04A-4941-97CD-B592C90641C2.jpg; 38478AE1-2CA2-4813-AA58-D761370633F7.jpg; 97DB246F-2AF9-4BF0-A1A5-44D0719EECDF.jpg; F93B79A4-0FD7-4957-B03C-A1CAA2E74220.jpg,Road,No,No,137208
rec-4d49309f6ffa4865a732d1742ba1f11e,,Amy,6007,Yes,Black,83,Red,83,,F,,2018-11-09 11:02,,49.659302,-114.912197," [49.659302,-114.912197]",Clayton Lamb,8775FCA2-ABB7-4D0D-9B70-46BADB8C42BC.jpg; 92663A73-52BA-4743-9D82-BD4CFAF9DEFF.jpg,4A25EE9A-5231-42E2-8A08-470DF04D459E.jpg; 3368B645-3705-4676-8A6B-DFC7B968DA58.jpg,2018-10-26,,unknown-human suspected,No,No,
