form_record_id,parent_form_id,parent_field_id,parent_record_id,Date,Observation Method,Cubs#,Cub Age Class,LitterID,Year Summary,Cubs observed at end,Cubs
rec-4d6cf2fb8ab3464ead36d91fbff9b2ce,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-07d715ad31764d61bcae110584456180,2015-09-30,Capture,2,1YO,1,,,Sheena
rec-a27f390d0e594ef98d0399d4e30f4ee1,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-e8619b1e543c4c3f92b05d6aa0c10719,2016-08-14,"Capture, Aerial",0,,,,,Sophie 
rec-eed0fde31eb04ee8b65cbe48ba28dfcd,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-86869b554d0643b3864947f9642b61e0,2016-09-29,Capture,0,,,,,Sue
rec-f77f34889c3e4a959da9815dcd37619c,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-86869b554d0643b3864947f9642b61e0,2017-05-21,Aerial,0,,,,,Sue
rec-cb6eb196923d4a75b10e16028ea745d5,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-86869b554d0643b3864947f9642b61e0,2018-05-12,Aerial,2,COY,1,,1,Sue
rec-bf2bfd6a76cf45e7a98cf1d2e78f7835,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-86869b554d0643b3864947f9642b61e0,2018-08-17,"Capture, Aerial",1,COY,1,,,Sue
rec-a9f73a4fdfcd493198892294d8317929,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-86869b554d0643b3864947f9642b61e0,2019-05-08,Aerial,1,1YO,1,,,Sue
rec-a3785d0dc2234fadb7ed976df9a128b2,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-86869b554d0643b3864947f9642b61e0,2019-07-16,Aerial,1,1YO,1,,,Sue
rec-c16505e181dc48f5a342192a5e5325cc,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-86869b554d0643b3864947f9642b61e0,2019-10-25,RemoteCamera,1,1YO,1,,0,Sue
rec-8e3244ff878a4dc8a05464b9d718929b,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-86869b554d0643b3864947f9642b61e0,2020-05-25,Aerial,0,,,,,Sue
rec-39c51c610e944392b0ed6913db682e33,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-86869b554d0643b3864947f9642b61e0,2021-05-13,Aerial,0,,,,,Sue
rec-5f9871bcb2504686a7f445f876906b33,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d20e056f4b0c4397bd16a777ccc46298,2017-08-25,Capture,2,COY,1,,2,Trish
rec-fa09210b10844e59ac7f09f4993b108c,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d20e056f4b0c4397bd16a777ccc46298,2017-10-09,RemoteCamera,2,COY,1,,,Trish
rec-e502d277e2664d3d967f4dfb0de2cd9e,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d20e056f4b0c4397bd16a777ccc46298,2018-05-29,Capture,1,1YO,1,,1,Trish
rec-8773406b5e48458a9159a62800339770,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-ef9fa16f5c584dfdb0a77d3be401d0b6,2021-11-06,Capture,0,,,,,Turkey
rec-b7374113516546f8a9e5a7ce7af54966,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-916f540053c64b449789888db7635ff1,2019-09-14,Capture,0,,,,,Willow
rec-6abd2729af3d4f38ae5fdf3056f0c363,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-916f540053c64b449789888db7635ff1,2020-05-25,Aerial,0,,,,,Willow
rec-2c3d3fc454e54bcc8db5220318d37af5,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-916f540053c64b449789888db7635ff1,2021-05-12,Aerial,3,COY,1,,,Willow
rec-1963565618c440b4af11137e5b6670b3,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-916f540053c64b449789888db7635ff1,2021-10-06,Visual,0,COY,1,,0,Willow
