form_record_id,parent_form_id,parent_field_id,parent_record_id,Date,Observation Method,Cubs#,Cub Age Class,LitterID,Year Summary,Cubs observed at end,Cubs
rec-dee4e746a1ab471e9f93d7aa0daad4d3,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-000bbd951a2e4ffe9f245bd7d234bdd1,2018-09-26,Capture,0,,,,,Cali
rec-f6b9ebf2f2c045aa82ec59ddc76e0c57,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-000bbd951a2e4ffe9f245bd7d234bdd1,2019-05-08,Aerial,2,COY,1,,1,Cali
rec-9c73d527563b404db8f116038e7060c8,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-000bbd951a2e4ffe9f245bd7d234bdd1,2019-07-16,Aerial,1,COY,1,,,Cali
rec-78a4fe249ba748f191e2358b2cf68328,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-000bbd951a2e4ffe9f245bd7d234bdd1,2019-08-23,"Capture, Aerial",1,COY,1,,,Cali
rec-b8a9033012eb4995843c692a92358793,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-000bbd951a2e4ffe9f245bd7d234bdd1,2020-05-25,Aerial,1,1YO,1,,,Cali
rec-ab04dc82a9ba492d9ff3a597c7a994ae,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-000bbd951a2e4ffe9f245bd7d234bdd1,2020-10-01,Visual,1,1YO,1,,0,Cali
rec-78ecec5bb74a4fcb85ac4cb078fa2e7d,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-000bbd951a2e4ffe9f245bd7d234bdd1,2021-05-13,Aerial,0,,,,,Cali
rec-5af7a8c5ed264a589d592a521adf1995,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-000bbd951a2e4ffe9f245bd7d234bdd1,2021-09-13,Aerial,0,,,,,Cali
rec-6d1df88498df42c587d1340027fbd4b3,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-65023feabaea42fbb03debbbb2f6f0b5,2016-10-02,Capture,0,,,,,Cameo
rec-b2582476aabb404997832e4e9d395552,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-65023feabaea42fbb03debbbb2f6f0b5,2017-09-20,Capture,0,,,,,Cameo
rec-0309ab808b7b4779a0a19914bda4b59d,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-adb3282519c94513ba55cba793c442cc,2017-09-11,"RemoteCamera, Capture",0,,,,,Casey
rec-519f22ce1d284b9da7dce5ee258eb382,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-adb3282519c94513ba55cba793c442cc,2018-05-12,Aerial,0,,,,,Casey
rec-708dd73261a84b548bfe183d19e3ef2d,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-adb3282519c94513ba55cba793c442cc,2018-08-17,Aerial,0,,,,,Casey
rec-51095f255ae346af8fb92fe05b655f79,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-adb3282519c94513ba55cba793c442cc,2019-05-09,Aerial,0,,,,,Casey
rec-f05b7d7bd08c4a54be427674a8d4458b,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-913002d1c3a24ebf9aadc501b5e6e0db,2016-08-15,"Capture, Aerial",0,,,,,Christina
