form_record_id,parent_form_id,parent_field_id,parent_record_id,Set,Removed,Number of Signs
rec-ef9a27cad6224f3cba86b433612c1300,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-62c7dcf8fe5d44148aa8ca414cc1e22c,2020-09-19,2020-09-26,4
rec-a0d5ec3d903b47d691612bf5511ef394,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-9bb7ae1a053042d68f144445c1da8fe7,2021-09-19,2021-09-27,3
rec-fa3feda69f1a48da9f7d740fa3b247c5,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-e79b418ae75045538f5fb66c6a1895c3,2018-09-30,2018-10-02,
rec-ffb03ed779ab421398ae17859a95b4ed,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-807da5552a294ae1a94a1001d8fe9193,2016-09-30,2020-10-03,
rec-86bfbc9f261d40f083ca727b6d0582d1,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-807da5552a294ae1a94a1001d8fe9193,2017-05-16,,
rec-05d7b5a84e7e4a6485a3b5531385efa5,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-807da5552a294ae1a94a1001d8fe9193,2020-04-27,2017-05-05,
rec-8ee1d3837fc64ed6bc8bd32adb8ef6f5,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-76aa88dec5a249f38120f9ee2d3eec95,2019-09-12,2019-09-20,
rec-c0f03a2ffcbd4bbc99cc6b77f84ece98,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-38dc71793a154c03985fc3ea8db52cf1,2016-09-25,2020-09-28,
rec-6f5a371423f14a1c8974f37c2a5f06fe,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-e68e67b0f44641099ae0e9153e1a5a7b,2019-09-11,2019-09-21,
rec-672dda735de7447eb72b841e4828b745,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-e68e67b0f44641099ae0e9153e1a5a7b,2020-09-17,2020-09-29,7
