Bear #,Capture ID,WLH ID,WGI ID,Species,Sex,Age Estimate,Tooth Age,Weight (kg),Bear Photo,Capture Reason,Date and Time,Surveyors,Location (latitude),Location (longitude),Location comments,Capture Type,Other Bears at Site?,Collar Brand,Collar Color,Collar Number,L Ear Tag #,L Ear Tag Color,R Ear Tag #,R Ear Tag Color,Neck Size,Snout to Vent Length (natural contours),Snout to Vent Length (straight line),Zoo Length,Chest Girth,Zygomatic Width,Zygomatic Length,Percent Body Fat (grizzly only),GPS Transmit End Date,GPS Transmit End Reason,GPS Data End Date (if different than transmit date),VHF Transmit End Date,VHF Transmit End Reason,Other Detection Date,Other Detection Reason,Fate unknown?
EVGF116,Kim,21-2752,,Grizzly Bear,F,7,11,163,B8EE0C6A-CEAB-4080-AA29-7C590F46B222.jpg; 4D278012-4B39-4027-83FE-B97AA00220A1.jpg,Research,2021-09-26 8:41,"Clayton Lamb, Laura Smit, Cali Lewis",49.657962,-114.903396,Hosmer Overpass,Leg Snare,No,Vectronic,Black,80069,116,Black,116,Black,66,166,148,,117,20.3,32.5,38.56229187,,,,,,,,No
EVGF119,Turkey,21-3137,,Grizzly Bear,F,5,4,,75503995-96EF-45ED-8159-E12E23E74008.jpg; BE9FB6AE-54D7-4E20-827F-18859A4A2A42.jpg,Management,2021-11-06 11:09,"Clayton Lamb, Denny Chretien",49.582831,-114.974213,Residence just before Hosmer bridge. Female and cubs were breaking into turkey coop and killing turkeys. ,Culvert,No,Follow It,Black,6641,101,Red,4454,Yellow,60,,,,,,,,2022-02-15,Rotted,,2022-09-15,Rotted,,,No
EVGF120,Grace,,,Grizzly Bear,F,6,,106,C0D9C16E-6C3E-48DA-B560-ACDEA2509DDC.jpg; 4267B236-312D-4188-A227-D8D5A0417AA6.jpg,Research,2022-09-18 7:57,"Clayton Lamb, Laura Smit",49.198295,-115.126034,Grasmere Flats,Leg Snare,No,Vectronic ,Black,86087,120,Black,120,Black,58,156,145,163,93,18.6,,26.88829581,,,,,,,,No
EVGF121,Sandy,,,Grizzly Bear,F,4,,69.5,A2DB1A24-A561-4ABA-8236-0B5F0A39D4BD.jpg; BFFEFA37-5D07-4D5F-9293-8D67F7A99A73.jpg,Research,2022-09-19 8:15,"Clayton Lamb, Laura Smit",49.38848,-115.199211,Sand Creek,Leg Snare,No,Vectronic,Black,85108,121,Black,121,Black,50,138,130,147,83,16.5,,28.76845365,,,,,,,,No
EVGM50,Darren,,14489,Grizzly Bear,M,8,7,200,8BE09A95-EBE1-4669-B237-A5BF4A62ACAB~L0~001.jpeg,Research,2016-10-03 18:17,"Clayton Lamb, Bill Hanlon, Bruce McLellan, Darren Reghenas",49.881805,-114.918419,Brule Bait Cache,Culvert,No,Vectronic,Brown,15109,398,Red,,,76,178,168,185,123,,,30.24732227,2016-11-27,Slipped,,2016-11-27,Slipped,2017-08-26,Capture,No
EVGM52,Olson,,14963,Grizzly Bear,M,9,9,244,24F8F17D-3478-42B1-92EE-76546A9F1997.jpg; 623516D6-9A59-46F7-A9F2-95477FDE37E7.jpg,Research,2018-05-13 7:20,"Clayton Lamb, Laura Smit, Garth Mowat, Ryan Gordon",49.64807,-114.917113,Olson Pit,Leg Snare,No,Follow It,Black,6276,67,Black,49,Black,86,199,179,210,120,23.1,,21.5522157,2018-07-28,Connection failure,,2018-09-28,Replaced/Recaptured,,,No
EVGM77,Gums,,3165,Grizzly Bear,M,24,27,176,A37C26BD-5A51-4013-AF06-511CAC8EEFD8.jpg; 57CA9694-AB71-477E-8201-5EB2152E23EC.jpg; 8C6DD1B8-F801-41A3-8AD3-E68ECB5807F7.jpg; 81A0B413-70CB-4580-B6C6-D9B6DF798872.jpg,Research,2019-09-16 10:36,"Clayton Lamb, Laura Smit",49.386715,-114.995371,River Road Extension (Branch B),Leg Snare,No,Follow It,Black,6052,99,Black,99,Black,66,183,168,,113,23.8,,16.19143182,2020-01-23,Connection failure,,2020-01-23,Connection failure,2021-10-23,Dead,No
EVGM80,Tim,,11513,Grizzly Bear,M,16,16,260,FE224CD4-B577-4110-8F39-0EBBFBE2F73F.jpg; 31B1DE2C-CE33-4769-AB4B-11233BBF745E.jpg; A3DBB367-78BD-48EC-86DD-0CBDA5D84D18.jpg,Research,2020-09-26 15:45,"Clayton Lamb, Laura Smit",49.602758,-114.945853,Hosmer (NCC),Leg Snare,No,Follow It,Black,6277,,,80,Black,77,,,,,,,,2020-11-16,Connection failure,,2020-11-16,Connection failure,2021-10-15,DNA,No
EVGM86,Chandler,,148,Grizzly Bear,M,17,17,211,D23E145C-CEFD-45EF-8D7F-C182255B2404.jpg; ABDFA4B2-1B82-4298-AB06-EE02397BD3BD.jpg,Research,2020-09-21 8:35,"Clayton Lamb, Laura Smit",49.682056,-114.888117,District of Sparwood,Leg Snare,No,Vectronic,Black,42579,86,Black,86,Black,74,197,179,206,119,23.6,,25.77485045,,,,,,,,No
EVGM86,Chandler,,148,Grizzly Bear,M,15,15,268,BD318063-F6F3-4628-BB73-BD6F0ADC9E6C.jpg; 66375E6B-C77A-4EAC-8D74-6149F8070709.jpg,Research,2018-09-22 8:13,"Clayton Lamb, Laura Smit, Jeff Piwek",49.650972,-114.911478,Olson Pit,Leg Snare,No,Follow It,Black,6487,86,Black,86,Black,80,195,181,,135,24,,,2019-07-01,Connection failure,,2019-07-21,Connection failure,2020-09-21,Capture,No
EVGM88,EVGM88,,cl-EVGM88,Grizzly Bear,M,3,3,76,DEC0093A-3755-44F0-B35F-A095EC09D299.jpg; FF52E242-D242-4182-AC7A-3C3B9E167027.jpg; 9943254F-0ECF-4B9A-A4FA-11746FD6B561.jpg,Management,2018-09-24 10:45,"Clayton Lamb, Laura Smit, Ryan Gordon, Jeff Piwek",49.342345,-115.294014,"7611 Baynes Lake Road, Jaffray (capture location). COs took the bear (in trailer) about 5 km down the road to a field by the river. We processed it and released it there. The GPS location is the release site. ",Culvert,No,Follow It,Black,6005,88,Black,88,Black,48,147,128,,87,15.1,,,2019-01-08,Connection failure,,2019-01-08,Connection failure,2021-12-24,Visual,No
EVGM89,Kramer,,cl-Kramer,Grizzly Bear,M,4,3,110,70BE3DD8-0176-455C-A097-CC0FD0FD75BD.jpg; E25F5E1C-C57F-4ECF-81FA-82CEE2A33E5C.jpg; F2A8FB88-EC0D-45B1-B8F7-B3F0C52B3973.jpg,Research,2018-09-26 9:04,"Clayton Lamb, Laura Smit, Trish Burley",49.355495,-115.00001,Morrissey (NCC Meadow),Leg Snare,No,Follow It,Black,6262,89,Black,89,Black,53,164,145,,97,17.3,,23.62610608,2018-11-12,Connection failure,,2018-11-12,Connection failure,2020-05-13,Dead,No
EVGM90,Jimmy,,cl-Jimmy,Grizzly Bear,M,2,1,83,EFB4862D-B9CD-44C5-8F98-08149B9E5684.jpg; B9A85B2E-FD15-4C0D-AE6D-82174A32EDF5.jpg,Research,2018-09-29 13:12,"Clayton Lamb, Laura Smit",49.887851,-114.913428,Brule bait cache culvert (the GPS location is the pit where we processed him). ,Culvert,Yes,Follow It,Black,6275,90,Black,90,Black,48,144,128,,84,,,34.55457542,2019-07-02,Rotted,,2019-07-02,Rotted,,,No
EVGM98,Caleb,,cl-Caleb,Grizzly Bear,M,3,3,106,0352E98A-C184-43DF-AAB8-88BD5A774828.jpg; C36947D7-C2F0-4B74-90D7-E2F733F9B7CC.jpg,Research,2019-09-16 8:50,"Clayton Lamb, Laura Smit",49.355578,-115.000682,Morrissey (NCC Meadow),Leg Snare,No,Vectronic,Black,39689,98,Black,98,Black,55,163,151,,88,17.9,,26.53483572,2020-09-29,Rotted,,2020-09-29,Rotted,,,No
EVGM100,Arthur,,18883,Grizzly Bear,M,2,2,94,FA7C778F-DBBD-4804-B566-519BCE74E2E7.jpg,Research,2019-09-18 14:43,"Clayton Lamb, Laura Smit",50.220642,-114.882924,"Caught at Fording River Operations mine site (location above), then moved in the back of the truck to the bottom of the Dry Creek Road and released there.",Leg Snare,Yes,Follow It,Black,6641,100,Black,100,Black,55.5,146,139,,90,17.1,,,2020-09-01,Replaced/Recaptured,,2020-09-01,Replaced/Recaptured,,,No
EVGM100,Arthur,,18883,Grizzly Bear,M,3,3,113,17E91865-A5EE-47C0-9D65-3BFDD8EA8C0C.jpg,Research,2020-09-01 11:34,"Garth Mowat, Bruce McLellan, Clay Wilson",50.243468,-114.867337,North end of the Fording Mine.,Helicopter,No,Vectronic,Black,42577,100,Black,100,Black,58,157,143,164,99,16,,13.25656802,2021-07-22,Rotted,,2021-07-22,Rotted,,,No
EVGM101,Tommy,,23838,Grizzly Bear,M,2,2,92.5,F0567D08-28DD-46A5-9532-472132132167.jpg,Research,2019-09-18 14:43,"Clayton Lamb, Laura Smit",50.220572,-114.882874,"Caught at Fording River Operations mine site (location above), then moved in the back of the truck to the bottom of the Dry Creek Road and released there.",Leg Snare,Yes,Vectronic,Black,39690,101,Black,101,Black,54,149,140,,91,16.5,,,2020-07-02,Mortality,,2020-07-02,Mortality,,,No
EVGM103,EVGM103,,cl-EVGM103,Grizzly Bear,M,0,,29.6,EA94566A-1000-4694-915D-275C89FD0716.jpg,Research,2019-09-21 8:34,"Clayton Lamb, Laura Smit, Jeff Piwek",49.657835,-114.903634,Hosmer Powerline Overpass,Leg Snare,Yes,,,,,,103,Black,36,105,96,,60,12.6,,,,,,,,,,No
EVGM106,Finn,,18184,Grizzly Bear,M,4,6,128,4AB31857-B9B3-49B2-B1D1-CA90166BCDE5.jpg,Research,2020-09-19 8:46,"Clayton Lamb, Laura Smit",49.675294,-114.784455,Michel fishing hole,Leg Snare,No,Vectronic ,Black,39690,106,Black,106,Black,58,173,158,,106,19.2,,29.59091771,2021-09-25,Connection failure,,2021-09-25,Connection failure,,,No
EVGM108,EVGM108,,cl-EVGM108,Grizzly Bear,M,1,,64,330A7C4A-DD5F-4B08-8588-7FA44AAB69DA.jpg,Research,2020-09-25 7:37,"Laura Smit, Clayton Lamb",49.355655,-115.000695,Morrissey (NCC Meadow),Leg Snare,Yes,,,,108,Black,108,Black,,,,,,,,,,,,,,,,No
EVGM110,Stu,,4875,Grizzly Bear,M,20,16,201,26A1DAC4-E13A-4F2D-A754-9BA45FA5FD78.jpg; 576770D3-BA4A-4B83-9625-90A97E4AA771.jpg; 4629BB7C-8C51-4A96-BFD7-058B7F018825.jpg,Research,2020-09-27 8:25,"Clayton Lamb, Laura Smit",49.657259,-114.729519,Alexander Gun Range ,Leg Snare,No,Follow It,Black,6006,110,Black,110,Black,70,194,172,,122,22.2,,27.4067532,2021-04-13,Connection failure,,2021-09-21,Replaced/Recaptured,,,No
EVGM110,Stu,,4875,Grizzly Bear,M,,17,166,29C42389-7414-40C8-9DF8-7445A023E7B6.jpg; 7009E71C-70DB-448A-B93A-75861C143C30.jpg; 1207570A-B0AC-46BE-9AB0-3A7B44166754.jpg; 04B31837-EE7E-429B-8498-2D0119B1846B.jpg,Research,2021-09-21 9:06,"Clayton Lamb, Laura Smit",49.632112,-114.784166,Corbin Grass Flats,Leg Snare,No,Vectronic,Black,45788,110,Black,110,Black,65.5,191,165,,109,21.8,35.7,23.39933644,,,,,,,,No
EVGM113,Dan,,,Grizzly Bear,M,2,2,88,029E9152-8076-4687-8E66-0F61CEEF9425.jpg; EAB32738-F21F-4C1A-864F-DFDD767C6AFB.jpg; 1C1BFA1D-64A7-4365-8E4D-D941FDBB17A6.jpg,Research,2021-09-20 8:21,"Clayton Lamb, Laura Smit",49.649461,-114.725728,Gas Plant,Leg Snare,No,Vectronic,Black,45791,113,Black,113,Black,51,164,143,,90,15.5,30.5,17.58288989,,,,,,,,No
EVGM114,Colton,21-2751,,Grizzly Bear,M,2,4,93,9D633CC9-8A37-4AD2-9B61-08C9AE720882.jpg; 3C90152E-736E-4494-BA55-D236136DB8B3.jpg,Research,2021-09-22 10:06,"Clayton Lamb, Laura Smit, Cali Lewis",49.649327,-114.726159,Gas Plant,Leg Snare,No,Vectronic,Black,42577,114,Black,114,Black,51,161,150,,91.5,16.8,31.5,28.54394401,,,,,,,,No
EVGM117,Todd,,,Grizzly Bear,M,4,,131,FB4171D1-D428-418D-A0C6-B3676D5E5EDB.jpg,Research,2022-09-13 7:46,"Clayton Lamb, Laura Smit",49.376007,-115.015507,NCC Farm,Leg Snare,Yes,Vectronic,Black,86088,117,Black,117,Black,62,173,157,181,100,,20,21.29789822,2022-09-21,Replaced/Recaptured,,2022-09-21,Replaced/Recaptured,,,No
EVGM117,Todd,,,Grizzly Bear,M,4,,,DA87C1CF-E5BD-4DE2-836E-85BBAD711CC1.jpg; 5040B184-00E9-4C9C-B58D-92CDB049511A.jpg,Research,2022-09-21 9:35,"Clayton Lamb, Laura Smit",49.354964,-115.000983,Morrissey Meadows (NCC),Leg Snare,No,Vectronic ,Black,86088,117,Black,117,Black,,,,,,,,,,,,,,,,No
EVGM118,Theodore,,,Grizzly Bear,M,7,,212,35839F6C-D93A-490A-BE47-0D48B5E07B30.jpg; 52CA5E4A-3DC8-43DB-8158-6B6B9B9BD9D0.jpg; 4ACF5322-9E18-4F6C-939D-4EB2EDB2029E.jpg,Research,2022-09-14 8:23,"Clayton Lamb, Laura Smit",49.355125,-115.000651,Morrissey Meadow (NCC),Leg Snare,Yes,Vectronic ,Black,86086,118,Black,118,Black,73,189,173,202,121,22.9,,26.5717556,,,,,,,,No
EVGM122,Gus,,,Grizzly Bear,M,9,,210,26E16F96-DE24-476F-8E85-69BA59E8627D.jpg,Research,2022-09-21 7:34,"Clayton Lamb, Laura Smit",49.313626,-115.194219,Beware of Owner,Leg Snare,No,Vectronic ,Black,42580,122,Black,122,Black,75,189,171,198,123,24,,,,,,,,,,No
EVGF41,Sophie ,,cl-Sophie,Grizzly Bear,F,10,8,143,,Research,2016-08-14 9:34,"Bruce McLellan, Clay Wilson, Garth Mowat",49.452073,-115.175296,Sand Creek,Helicopter,Yes,Vectronic,Brown,21406,,,384,Red,66,167,,,104,,,25.80441789,2017-05-11,Slipped,,2017-05-11,Slipped,,LS Confirm,No
EVGF42,Melanie,,5560,Grizzly Bear,F,25,12,140,,Research,2016-08-14 9:52,"Clay Wilson, Bruce McLellan, Garth Mowat",49.454183,-115.173319,Sand Creek,Helicopter,Yes,Vectronic,Brown,21403,,,387,Red,62,158,,,112,,,20.53727547,2019-04-23,Rotted,,2019-04-23,Rotted,2020-08-15,DNA,No
EVGF45,Sue,,cl-Sue,Grizzly Bear,F,6,5,110,IMG_0048.JPG,Research,2016-09-29 10:53,"Clayton Lamb, Michael Proctor, Bill Hanlon",49.840823,-114.865253,Grave Praire,Leg Snare,No,Vectronic,Brown,15108,250,Black,250,Black,61,166,,,108,,,30.95218994,2018-05-08,Connection failure,2018-08-17,2018-08-17,Replaced/Recaptured,2018-08-17,Capture,No
EVGF46,Cameo,,cl-Cameo,Grizzly Bear,F,4,4,104,D045CE3B-2AD6-44E6-935B-F5365E76B338.jpg; 064FC488-F5AC-46F8-A125-5058D525FD6B.jpg; B0B8BD90-DCCF-4B72-83A8-007EC66EBFFF.jpg; 16E0FB4B-5841-4AD4-85C6-2C390DD68150.jpg; 68A65B10-AAF7-453A-9B6F-E108371599C8.jpg,Management,2017-09-20 10:33,"Clayton Lamb, Laura Smit, Frank Deboon, Trish Burley",50.051701,-114.930075,Elkford ,Leg Snare,Yes,,,,379,Red,,,56,157,149,,98,,,34.47765548,,,,,,,,No
EVGF46,Cameo,,cl-Cameo,Grizzly Bear,F,3,3,86,09CE09CF-67B5-46E6-A889-D17DB75B0821.jpg,Research,2016-10-02 13:07,"Clayton Lamb, Bill Hanlon, Bruce McLellan",49.692649,-114.893674,Sparwood Landfill ,Leg Snare,Yes,Vectronic,Brown,15111,379,Red,,,52,144,135,150,90,,,21.92160884,2017-05-07,Rotted,,2017-05-07,Rotted,2017-09-20,Capture,No
EVGF49,Fran,,cl-Fran,Grizzly Bear,F,5,3,117,IMG_0060.JPG,Research,2016-10-03 15:09,"Clayton Lamb, Bill Hanlon, Joe Caravetta, Bruce McLellan",49.609082,-114.942976,Hosmer Elk Dump,Leg Snare,No,Vectronic,Brown,18495,383,Red,,,61,154,141,161,102,,,28.39689608,2016-11-02,Mortality,,2016-11-02,Mortality,,,No
EVGF54,Lily,,18302,Grizzly Bear,F,5,6,88,A1C3D6FD-997C-447E-BFEF-9D37B1677ACB.jpg,Research,2017-05-01 9:28,"Garth Mowat, Frank Deboon, Clayton Lamb",49.501599,-115.077548,Hand Ave,Free range,No,Vectronic,Brown,18495,54,Black,54,Black,54,155,147,,88,,,15.15631064,2017-05-21,Mortality,,2017-05-21,Mortality,,,No
EVGF57,Brittney,,cl-Brittney,Grizzly Bear,F,5,6,82,586B4946-71EB-4C7C-BF66-D93468115B93.jpg,Research,2017-05-18 14:13,"Clayton Lamb, Garth Mowat, Laura Smit",49.840888,-114.865629,Grave Prairie,Leg Snare,No,Follow It,Black,6006,57,Black,57,Black,55,158,147,,91,17.5,,8.529070734,2018-08-17,Replaced/Recaptured,,2018-08-17,Replaced/Recaptured,,,No
EVGF60,Bailey,,cl-Bailey,Grizzly Bear,F,3,5,69,3EC3C87B-81FA-409C-898D-77AF1A2226F9.jpg; 6A8EC010-8822-425E-9AFD-FB7D1C511FA6.jpg,Research,2017-06-14 14:00,"Clayton Lamb, Laura Smit",49.859177,-114.97084,Base of slide up ATV trail off Nordstrom. ,Leg Snare,No,Follow It,Black,6057,60,Black,60,Black,51,147,136,162,89,16.4,,5.378379756,2018-08-17,Replaced/Recaptured,,2018-08-17,Replaced/Recaptured,,,No
EVGF62,Sheena,,7341,Grizzly Bear,F,9,,114,,Management,2015-08-30 14:00,"Pat Stent, Frank Deboon, Joe Caravetta, Joe Garay, Jared Connatty, Ray Gilewicz ",49.570929,-115.005147,"Sheena had been killing chickens at Hutchinson's farm (6829 Bryant Road, Hosmer). See HWCR #15-10132 for more details. ",Culvert,Yes,Lotek ,,38739,,,4486,Yellow,,,,,,,,,2015-09-30,Mortality,,2015-09-30,Mortality,,,No
EVGF63,Honey,,CI137206,Grizzly Bear,F,,7,,,Management,2015-09-25 17:00,"Pat Stent, Ray Gilewicz , Jared Connatty, Jeff Scott",49.585177,-115.576828,"Captured near Norbury Lake (where she and her offspring had been getting in trouble for stealing honey), then moved to Van Creek. ",Leg Snare,Yes,Lotek ,,38738,4310,Yellow,,,,,,,,,,,2017-03-15,Connection failure,,2017-03-15,Connection failure,2017-07-18,Dead,No
EVGF64,Trish,,cl-Trish,Grizzly Bear,F,9,8,114,F26D4DDF-627E-4127-BFC5-9834708B8ADD.jpg; E0D1C917-394F-4BE5-A861-1DBBA60A545C.jpg; F7C7B46A-A900-47C6-88C6-AE0449B2D4C1.jpg,Research,2017-08-25 10:04,"Clayton Lamb, Laura Smit, Trish Burley",49.649531,-114.913437,Olson Pit ,Leg Snare,Yes,Follow It,Black,6055,64,Black,64,Black,59,163,136,,96,19.7,,,2017-11-15,Connection failure,,2017-11-15,Connection failure,2018-05-29,Capture,No
EVGF73,Melissa,,cl-Melissa,Grizzly Bear,F,5,3,120,25082C49-B618-4DA6-A6A7-F44F21DC0A51.jpg; 55FF1BA6-9A80-4AEC-97FF-67907D8CF815.jpg; F9B373BA-1F77-4542-B8EC-3C2F27B98852.jpg,Research,2017-09-20 10:40,"Laura Smit, Clayton Lamb, Frank Deboon, Trish Burley",50.051685,-114.930057,Elkford,Leg Snare,Yes,Follow It,Black,6058,73,Black,73,Black,57,168,152,,96,18.2,,26.66273914,2019-03-24,Rotted,,2019-03-24,Rotted,,,No
EVGF82,Cali,,cl-Cali,Grizzly Bear,F,6,9,145,D6C39D66-4D95-4609-9D47-799B4AA1A697.jpg; 71FEF5D4-AE75-495F-9FCF-9ED09DA6A8F4.jpg,Research,2018-09-18 7:26,"Clayton Lamb, Laura Smit, Cali Lewis",49.355568,-115.000229,Morrissey (NCC Meadow),Leg Snare,No,Follow It,Black,6485,82,Black,82,Black,63,181,158,,103,19.4,,29.46658612,2018-09-26,Replaced/Recaptured,,2018-09-26,Replaced/Recaptured,,,No
EVGM44,Kenny,,13736,Grizzly Bear,M,5,6,155,80411A1A-8FE3-4369-B333-615827573E38~L0~001.jpeg,Research,2016-09-25 9:24,"Clayton Lamb, Michael Proctor",49.881655,-114.918578,Bait depot up Brule creek,Culvert,No,Vectronic,Brown,18494,249,Black,249,Black,67,181,,,111,,,29.32384021,2017-05-15,Rotted,,2017-05-15,Rotted,2017-09-19,Capture,No
EVGM44,Kenny,,13736,Grizzly Bear,M,7,7,167,2435A946-4FC2-4934-8EA5-641D05BCAB03.jpg; 8FBF6F8F-3B5A-4A08-B9C2-A93BAF06D4B0.jpg; 870629B1-B7A7-4A1B-84DE-02E2D339DCAF.jpg,Research,2017-09-19 8:18,"Clayton Lamb, Laura Smit, Darren Reghenas, Ryan Gordon",49.854098,-114.916384,Ron and Diana Plessis' property,Leg Snare,Yes,Follow It,Black,6052,249,Black,249,Black,67,184,169,,109.5,20.5,,,2018-05-03,Rotted,,2018-05-03,Rotted,2018-10-15,DNA,No
EVGM47,Bill,,cl-Bill,Grizzly Bear,M,3,3,109,,Research,2016-10-02 13:04,"Bill Hanlon, Clayton Lamb, Bruce McLellan",49.692663,-114.893895,Sparwood Landfill,Leg Snare,Yes,Vectronic,Brown,15107,381,Red,,,57,152,139,155,101,,,23.53670152,2016-11-04,Mortality,,2016-11-04,Mortality,,,No
EVGM48,Joe,,7040,Grizzly Bear,M,16,12,246,8A72A84E-5724-486A-AC6C-A0B55039F2FD~L0~001.jpeg,Research,2016-10-03 13:12,"Clayton Lamb, Bill Hanlon, Bruce McLellan, Joe Caravetta",49.58647,-115.023715,Hosmer West,Leg Snare,No,Vectronic,Brown,18497,382,Red,,,84,191,171,209,134,,,27.9399145,2017-06-17,Rotted,,2017-06-17,Rotted,2017-10-22,Capture,No
EVGM50,Darren,,14489,Grizzly Bear,M,8,8,215,AE9AAC5F-F570-4168-8F63-B6879A7B913B.jpg; 72FC85D1-BAE4-4117-BF91-5CB4096E6BF2.jpg; 14DAACBC-9491-4C63-9102-AFC1B302F2D3.jpg,Research,2017-08-26 9:20,"Clayton Lamb, Laura Smit, Joe Caravetta, Ryan Gordon",49.886966,-114.910203,Brule Pit,Leg Snare,No,Follow It,Black,6051,65,Black,65,Black,77,196,179,206,122,23.8,,18.69567671,2017-09-23,Connection failure,,2017-09-23,Connection failure,2021-12-24,Found rotted off,No
EVGM52,Olson,,14963,Grizzly Bear,M,12,8,226,C33043C2-25E8-4637-BD1A-C83CA8DAB512.jpg; BFB0CF80-E60A-4ED3-BD1C-E13ED92EBC8F.jpg; C863515B-6254-4559-A3F8-A1EBA2E6F715.jpg,Research,2017-04-30 8:45,"Clayton Lamb, Garth Mowat",49.64767,-114.91661,Olsen Pit Carcass Dump,Leg Snare,No,Vectronic,Brown,25456,67,Black,49,Black,81,196,180,,129,,,22.67624807,2018-05-13,Replaced/Recaptured,,2018-05-13,Replaced/Recaptured,,,No
EVGM53,Feng,,6276,Grizzly Bear,M,8,11,204,252A6FAD-AD75-4CD1-952D-2D81EDC52992.jpg; D4D10615-81BD-4073-9C6A-908A4CBA02D0.jpg; C3CB634E-49B4-4794-B5A5-EBEF4267E8FD.jpg,Research,2017-05-21 10:59,"Clayton Lamb, Laura Smit, Garth Mowat, Stu Clow, Frank Deboon",50.028863,-114.822453,Fording Road near Ewin Junction,Leg Snare,No,Follow It,Black,6004,53,Black,53,Black,86,175,160,185,130,21.6,,28.28427074,2017-06-04,Slipped,,2017-06-04,Slipped,2018-10-15,DNA,No
EVGM55,Ryan,,cl-Ryan,Grizzly Bear,M,4,4,111,20E48323-CE39-4EA0-84CB-AC7AEF86DCB5.jpg; 3509C31E-0625-484E-890C-D1A7B87D55FF.jpg; E8AF7A64-BF42-423E-B6DA-015F4ED2C826.jpg,Research,2017-05-01 10:43,"Clayton Lamb, Frank Deboon",49.540729,-115.031823,Just north of fernie in field,Culvert,No,Vectronic,Brown,15107,55,Black,55,Black,62,154,144,,97,,,26.34230465,2017-05-15,Mortality,,2017-05-15,Mortality,,,No
EVGM58,Sid,,18387,Grizzly Bear,M,4,5,115,AFBDC6E9-06B8-481F-8B56-C86597B3D41D.jpg,Research,2017-05-24 10:45,Clayton Lamb,50.060801,-114.907803,Round Prairie (at about 104.2km),Free range,No,Follow It,Black,6005,,,58,Black,57,162,,,94.3,,,15.63657659,2017-06-08,Connection failure,,2017-08-05,Mortality,,,No
EVGM58,Sid,,18387,Grizzly Bear,M,,4,60,,Research,2016-05-22 10:45,Alberta Parks,50.678586,-115.113212,K country in AB (location above is approx),,No,,,21015,,,,,,,,,,,,,2016-10-06,Rotted,,2016-10-06,Rotted,2017-05-24,Capture,No
EVGM59,Hartley,,11888,Grizzly Bear,M,4,6,108,C34B169C-85B3-43CD-974A-4809ABAEB89D.jpg; 801A84D0-85AE-47C7-ADFF-0C3ACBEF7CCF.jpg,Research,2017-06-08 10:18,"Clayton Lamb, Abbey Wilson, Trish Burley, Ryan Gordon",49.578638,-115.027867,Up Hartley side of road,Leg Snare,No,Follow It,Black,6007,59,Black,59,Black,59,182,151,,99,,,,2017-10-15,Connection failure,,2017-10-16,Mortality,,,No
EVGM61,Donnie,,cl-Donnie,Grizzly Bear,M,4,3,121,0AF2931B-8A73-46F5-A567-752196204FF0.jpg; 80376618-5CC9-4E28-83D7-B1565CC2EA49.jpg,Management,2017-09-14 20:45,"Clayton Lamb, Laura Smit, Frank Deboon",50.016776,-114.92241,Eating apples in yard on Alpine Way. ,Free range,No,Follow It,Black,6058,61,Black,,,54,163,,,,,,29.64766158,2017-09-15,Mortality,,2017-09-15,Mortality,,,No
EVGM61,Donnie,,cl-Donnie,Grizzly Bear,M,4,3,86,0A9368F9-BB4C-4CE9-BA2D-0D50E6A6C909.jpg; AEC0B165-D398-4C3B-8CA4-377110F2027E.jpg; 284C5B11-7049-4699-A708-929B7061BCAC.jpg; F5872DE4-670A-495F-9F48-C24F2E1A9454.jpg,Research,2017-06-19 12:24,"Clayton Lamb, Laura Smit",50.128031,-114.948468,Around 112.5 km on Elk FSR. He was walking up the road and CL free ranged him. ,Free range,No,Follow It,Black,6058,61,Black,,,48,153,137,164,86,16.8,,5.990497105,2017-06-20,Replaced/Recaptured,,2017-06-20,Replaced/Recaptured,,,No
EVGM61,Donnie,,cl-Donnie,Grizzly Bear,M,4,3,,,Research,2017-06-20 11:24,"Clayton Lamb, Laura Smit",50.12495,-114.958275,Slim Slides,Leg Snare,No,Followit,Black,6058,,,,,,,,,,,,,2017-09-14,Replaced/Recaptured,,2017-09-14,Replaced/Recaptured,,,No
EVGM69,EVGM69,,cl-EVGM69,Grizzly Bear,M,1,,61,D5F7D1D6-88ED-4F6A-834A-BE807CBEB11C.jpg,Research,2017-09-19 13:31,"Clayton Lamb, Laura Smit, Trish Burley, Ryan Gordon",49.355518,-115.000715,Morrissey (NCC meadow),Leg Snare,No,,,,,,69,Black,,,,,,,,,,,,,,,,No
EVGM69,EVGM69,,cl-EVGM69,Grizzly Bear,M,1,,,,Research,2017-09-10 15:48,"Clayton Lamb, Frank Deboon",49.355518,-115.000715,Morrissey (NCC meadow),Leg Snare,Yes,,,,,,69,Black,,,,,,,,,,,,,,,,No
EVGM71,Basil,,19866,Grizzly Bear,M,4,5,131,78757395-9970-47AD-9F86-D264D93C11BA.jpg,Research,2017-09-19 7:53,"Clayton Lamb, Laura Smit, Darren Reghenas, Ryan Gordon",49.854106,-114.916409,Ron and Diana Plessis' property,Leg Snare,Yes,Follow It,Black,6003,71,Black,71,Black,57,173,151,,107,,,28.73136954,2018-04-16,Rotted,,2018-04-16,Rotted,2018-10-15,DNA,No
