Bear #,Capture ID,WLH ID,WGI ID,Species,Sex,Age Estimate,Tooth Age,Weight (kg),Bear Photo,Capture Reason,Date and Time,Surveyors,Location (latitude),Location (longitude),Location comments,Capture Type,Other Bears at Site?,Collar Brand,Collar Color,Collar Number,L Ear Tag #,L Ear Tag Color,R Ear Tag #,R Ear Tag Color,Neck Size,Snout to Vent Length (natural contours),Snout to Vent Length (straight line),Zoo Length,Chest Girth,Zygomatic Width,Zygomatic Length,Percent Body Fat (grizzly only),GPS Transmit End Date,GPS Transmit End Reason,GPS Data End Date (if different than transmit date),VHF Transmit End Date,VHF Transmit End Reason,Other Detection Date,Other Detection Reason,Fate unknown?
EVGF57,Brittney,,cl-Brittney,Grizzly Bear,F,,10,84.5,3704757F-3946-43A7-B05A-16979344CF3A.jpg,Research,2021-09-13 16:42,"Garth Mowat, Clayton Lamb, Taylor Wilson",49.95324,-114.728715,East Line Creek,Helicopter,Yes,Vectronic,Black,45790,57,Black,57,Black,48,161,149.5,,88,20.5,33.6,23.3249477,,,,,,,,No
EVGF60,Bailey,,cl-Bailey,Grizzly Bear,F,4,6,103,751E2721-31D8-495C-89D2-7D4D07CADFEC.jpg,Research,2018-08-17 11:37,"Garth Mowat, Bruce McLellan, Clay Wilson",49.85694,-114.99945,Nordstrom burn,Helicopter,No,Follow It,Black,6273,60,Black,60,Black,56,150,140,160,97,16.4,,18.21994402,2020-08-07,Blown off,,2020-08-07,Blown off,,,No
EVGF66,Kathy,,cl-Kathy,Grizzly Bear,F,16,16,119,EC78A38C-7B5C-4D56-9885-0AED321DEF94.jpg,Research,2022-09-16 7:56,"Clayton Lamb, Laura Smit",49.376131,-115.015832,NCC Farm,Leg Snare,Yes,Vectronic,Black,85109,66,Black,66,Black,57,156,146,166,96,20.7,,25.57026378,,,,,,,,No
EVGF66,Kathy,,cl-Kathy,Grizzly Bear,F,15,11,114,880FD109-759B-43BC-99DB-79E6909D24B2.jpg,Research,2017-09-11 10:37,"Clayton Lamb, Frank Deboon",49.355391,-114.999849,Morrissey (NCC Meadow),Leg Snare,Yes,Follow It,Black,6056,66,Black,66,Black,57,167,150,160,91,20.5,,20.42492114,2018-07-25,Connection failure,,2018-07-25,Connection failure,2020-09-25,Capture,No
EVGF66,Kathy,,cl-Kathy,Grizzly Bear,F,14,14,122.7,77E7F50C-7006-478E-9C50-F70DF8BB3C5E.jpg; 232806A1-08FC-4231-AF78-AB7A6BFED3E9.jpg,Research,2020-09-25 7:31,"Clayton Lamb, Laura Smit",49.355659,-115.000675,Morrissey (NCC Meadow),Leg Snare,Yes,Vectronic,Black,42578,66,Black,66,Black,59,163,149,,99,20.4,,29.91419869,2021-09-15,Connection failure,,2021-09-15,Connection failure,2022-09-16,Capture,No
EVGF67,Mike,,13253,Grizzly Bear,M,10,8,178.3,AABA0A50-13FA-4F02-BD4D-1114E4F28B3B.jpg,Research,2017-09-11 13:15,"Clayton Lamb, Trish Burley, Frank Deboon",49.402331,-115.02199,,Leg Snare,No,Follow It,Black,6004,67,Black,,,69,197,176,,122,,,18.12287139,2018-06-21,Connection failure,,2018-06-20,Connection failure,2018-10-15,DNA,No
EVGF68,Casey,,641,Grizzly Bear,F,6,11,125,D1174953-9F1C-4625-AE5C-F4FEB201B556.jpg,Research,2017-09-11 15:56,"Clayton Lamb, Bill Hanlon, Frank Deboon",49.881129,-114.882804,Line Creek Road,Leg Snare,No,Follow It,Black,6060,68,Black,68,Black,57,177,152,168,100,,,22.61775513,2019-05-19,Rotted,,2019-05-19,Rotted,,,No
EVGF70,Emma,,cl-Emma,Grizzly Bear,F,8,9,98,C02E517C-B584-4E9E-A2AE-3C897DB8422D.jpg; 5B6E8F51-F68D-4B96-953F-409986845518.jpg,Research,2017-09-15 12:28,"Clayton Lamb, Laura Smit, Trish Burley",49.355532,-115.000632,Morrissey (NCC meadow),Leg Snare,No,Follow It,Black,6061,70,Black,70,Black,56.5,165,152,177,92,19.2,,21.18722314,2018-09-27,Connection failure,,2018-09-27,Connection failure,2022-10-07,DNA,No
EVGF73,Melissa,,cl-Melissa,Grizzly Bear,F,6,,,IMG_5963.jpeg; IMG_8603.jpg; IMG_8602.jpg; IMG_5949.jpeg; IMG_5913.jpeg; IMG_8610.jpg,Management,2020-10-16 11:12,"Clayton Lamb, Jeff Piwek, Trish Burley",49.93876,-114.909916,"4100 Hwy 43, at a farm.",Culvert,Yes,Vectronic,Black,39689,73,Black,73,Black,,,,,,,,,2021-10-04,Mortality,,2021-10-04,Mortality,,,No
EVGF82,Cali,,cl-Cali,Grizzly Bear,F,10,10,,B924F45A-A4FE-4715-9FF9-E1B886FB79B4~L0~001.jpeg,Research,2019-08-23 15:48,"Clay Wilson, Garth Mowat, Bruce McLellan",49.350158,-115.047819,Tunnel Creek,Helicopter,Yes,Follow It,Black,6003,82,Black,82,Black,58,157,,169,99,,,,2020-11-10,Connection failure,,2021-09-13,Connection failure,,,No
EVGF82,Cali,,cl-Cali,Grizzly Bear,F,6,9,145,26AAE3DA-3186-412A-995B-FD74677F8274.jpg; B47E017C-85FC-4F28-8BF4-5DA73586731B.jpg,Research,2018-09-26 11:57,"Clayton Lamb, Laura Smit",49.343112,-115.01664,Tunnel Pit ,Leg Snare,No,Follow It,Black,6485,82,Black,82,Black,60,175,,,,,,35.69282038,2019-05-30,Connection failure,2019-08-23,2019-08-23,Replaced/Recaptured,,,No
EVGF83,Amy,,cl-Amy ,Grizzly Bear,F,7,5,129.5,1CC431CD-7C6D-42C5-87A6-6F175C428381.jpg; 2BE67873-C0A9-4FF0-BF4D-F5F742A2B659.jpg,Research,2018-09-20 7:48,"Clayton Lamb, Laura Smit, Trish Burley",49.682744,-114.888274,District of Sparwood,Leg Snare,Yes,Follow It,Black,6007,83,Black,83,Black,58.5,177,155,,99.5,18.8,,24.81572873,2018-10-27,Mortality,,2018-10-26,Mortality,,,No
EVGF84,EVGF84,21-2753,cl-EVGF84 ,Grizzly Bear,F,3,,98,66C6B807-DCDC-41A1-99CE-D971CF4F75E3.jpg; 954CDF25-8CD3-4D18-9558-1EDBCAAA7175.jpg,Research,2021-09-27 9:27,"Clayton Lamb, Laura Smit",49.657925,-114.731052,Alexander Gun Range,Leg Snare,No,Vectronic,Black,80070,47,Black,84,Black,53,161,144,,,16.8,31,24.36062208,,,,,,,,No
EVGF84,EVGF84,21-2753,cl-EVGF84,Grizzly Bear,F,0,,34.4,C26F1466-B673-4227-8AF2-4417D3C17A3C.jpg; 5D181BF6-23E8-49AF-BDE0-08424AAF226F.jpg,Research,2018-09-20 7:50,"Clayton Lamb, Laura Smit, Trish Burley",49.682828,-114.888241,District of Sparwood,Leg Snare,Yes,,,,,,84,Black,,,,,,,,,,,,,,,,No
EVGF85,Monica,,cl-Monica,Grizzly Bear,F,5,2,77.5,E9BC9AA9-412D-4795-9408-819958C7D57D.jpg,Research,2018-09-21 10:02,"Clayton Lamb, Laura Smit, Trish Burley",49.599145,-114.94689,Hosmer Powerline,Leg Snare,No,Follow It,Black,6483,85,Black,85,Black,48,,,,,,,,2019-11-14,Connection failure,,2019-11-14,Connection failure,2020-10-31,Dead,No
EVGF87,EVGF87 ,,cl-EVGF87,Grizzly Bear,F,0,1,,,Research,2018-09-24 8:38,"Clayton Lamb, Laura Smit, Ryan Gordon, Jeff Piwek",49.682393,-114.887933,District of Sparwood ,Leg Snare,Yes,,,,87,Black,87,Black,,,,,,,,,,,,,,,,No
EVGF91,Rachel,,cl-Rachel,Grizzly Bear,F,4,4,117,,Research,2020-09-05 10:00,"Garth Mowat, Clay Wilson, Bruce McLellan",49.42549,-114.97648,Upper Matheson,Helicopter,No,Vectronic,Black,42580,91,Black,91,Black,56,155,148,161,106,,,34.12807102,2022-05-15,Mortality,,2022-05-15,Mortality,,,No
EVGF91,Rachel,,cl-Rachel,Grizzly Bear,F,4,2,86.7,5447B48B-C7B0-44A8-BAA0-D5EACC7D60A8.jpg; 08B2FDE5-E436-4F25-B5E5-810E631B69A9.jpg; 02C9D028-4BC8-4A65-9B5E-F4C977C18D49.jpg,Research,2018-10-02 9:47,"Clayton Lamb, Laura Smit",49.463028,-115.052315,"Cokato Landing (culvert), then moved to CO office to process (snow storm on the way). Let her wake up inside in the culvert inside, then drove her up Cokato and released her (49.41626, -115.02499), about 5.5 km from her capture location. ",Culvert,No,Follow It,Black,6484,91,Black,91,Black,49,149,137,,91,15.7,,,2020-06-24,Connection failure,,2020-09-05,Replaced/Recaptured,,,No
EVGF92,Bubbles,21-2750,21248,Grizzly Bear,F,10,10,123,679CCBA1-0F4F-40BB-B1C8-8ED58DBB509C.jpg; 4E10A4BC-AC06-4DDE-8667-C9FF8BB1839A.jpg,Research,2021-09-22 8:02,"Clayton Lamb, Laura Smit, Cali Lewis",49.657898,-114.90347,Hosmer Overpass,Leg Snare,Yes,Vectronic ,Black,45792,92,Black,92,Black,60,161,143,,97,19.6,29.5,23.22002911,,,,,,,,No
EVGF92,Bubbles,21-2750,21248,Grizzly Bear,F,10,8,,13DB5B12-1708-4E58-877E-1F50BD3F59F7.jpg; 11788311-05AC-4CA3-B280-5486543A7721.jpg,Research,2019-05-09 11:48,"Garth Mowat, Pat Stent, Clay Wilson",49.601459,-114.959455,East of Hosmer - Canwell property,Helicopter,Yes,Follow It,Black,6642,92,Black,92,Black,58,162,130,173,95.5,18.7,,,2020-06-08,Connection failure,,2021-05-01,Rotted,2021-09-22,Capture,No
EVGF93,JimmyMom,,11478,Grizzly Bear,F,15,13,107.4,89C31B20-1395-408A-A44B-67B8C069DE16.jpg; 2A14F851-6C65-452A-A544-DAEAF34141C8.jpg; 5145A42F-2139-4EEF-B38E-A287CA703784.jpg,Research,2019-05-09 14:05,"Clay Wilson, Pat Stent, Garth Mowat",49.982987,-114.888396,Selective cutblock. ,Helicopter,Yes,Follow It,Black,6640,93,Black,93,Black,62,155,142,172,98,18.1,,21.79701554,2019-11-02,Slipped,,2020-02-01,Slipped,,,No
