form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Label
rec-b2af615691714992b484d6172fa7e39f,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-1620f601296f4ce4add79723536d4394,Blood,,WLH ID 22-
rec-a45f0c6661fa4da0ac3f135bcda891bf,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-1620f601296f4ce4add79723536d4394,Blood,,WLH ID 22-
rec-eed92f3d3ce24aba9a245125bcbbe5a2,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-1620f601296f4ce4add79723536d4394,Blood,,WLH ID 22-
rec-882c1da5bf9746ad89f27d3588e53ba4,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-1620f601296f4ce4add79723536d4394,Blood,,WLH ID 22-
rec-5327aa1fd026451ba87a2dcc708a79f0,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-cb110e2742e9433d8ad3b33030336a81,Hair,14925,cl-EV84
rec-83ad0cd48df74e1cba5b7e1eaaaf08b6,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-cb110e2742e9433d8ad3b33030336a81,Hair,14902,cl-EV85
rec-0862c1ba4043401bb23490846357131e,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-cb110e2742e9433d8ad3b33030336a81,Tissue,14901,cl-EV86
rec-ef9445656e244ec9a0e8c248c9da8bd4,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-cb110e2742e9433d8ad3b33030336a81,Tooth,14900,cl-EV87
rec-d6c0078e36ed4717a21f4b986fbc5428,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-fd19273fee1d4600b16765a8a14c6cc1,Hair,1606,cl-EV250
rec-1ee322a311144a10827bcf35b012d6d1,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-fd19273fee1d4600b16765a8a14c6cc1,Hair,1607,cl-EV251
rec-3fdb6e0a67284a42a19b5ea912191d65,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-60fd2cc71e924535bd58e612dab3b507,Hair,14923,cl-EV88
rec-50e206979d274d60b25e9467f31e1ab7,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-60fd2cc71e924535bd58e612dab3b507,Hair,14903,cl-EV89
rec-3348c93c6bd5490abb31a72c58065afa,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-60fd2cc71e924535bd58e612dab3b507,Tissue,14921,cl-EV90
